'Time [min]';'Power [W]'
0.0;0.0
1.0;15.0
2.0;15.0
3.0;15.0
4.0;15.0
5.0;15.0
6.0;15.0
7.0;15.0
8.0;15.0
9.0;15.0
10.0;15.0
11.0;15.0
12.0;15.0
13.0;15.0
14.0;15.0
15.0;15.0
16.0;15.0
17.0;15.0
18.0;15.0
19.0;15.0
20.0;15.0
21.0;15.0
22.0;15.0
23.0;15.0
24.0;15.0
25.0;15.0
26.0;0.0
27.0;15.0
28.0;15.0
29.0;15.0
30.0;15.0
31.0;15.0
32.0;15.0
33.0;15.0
34.0;15.0
35.0;15.0
36.0;100.0
37.0;100.0
38.0;100.0
39.0;100.0
40.0;100.0
41.0;100.0
42.0;100.0
43.0;100.0
44.0;100.0
45.0;100.0
46.0;100.0
47.0;100.0
48.0;100.0
49.0;100.0
50.0;100.0
51.0;100.0
52.0;100.0
53.0;100.0
54.0;100.0
55.0;100.0
56.0;100.0
57.0;100.0
58.0;100.0
59.0;100.0
60.0;15.0
61.0;15.0
62.0;15.0
63.0;15.0
64.0;15.0
65.0;15.0
66.0;15.0
67.0;15.0
68.0;15.0
69.0;15.0
70.0;15.0
71.0;15.0
72.0;15.0
73.0;15.0
74.0;15.0
75.0;15.0
76.0;15.0
77.0;15.0
78.0;15.0
79.0;15.0
80.0;15.0
81.0;0.0
82.0;0.0
83.0;100.0
84.0;100.0
85.0;100.0
86.0;100.0
87.0;100.0
88.0;100.0
89.0;100.0
90.0;0.0
91.0;0.0
92.0;100.0
93.0;100.0
94.0;100.0
95.0;100.0
96.0;100.0
97.0;100.0
98.0;100.0
99.0;100.0
100.0;100.0
101.0;100.0
102.0;100.0
103.0;100.0
104.0;100.0
105.0;30.0
106.0;30.0
107.0;30.0
108.0;30.0
109.0;0.0
110.0;0.0
