'Time [min]';'Power [W]'
0.0;0.0
1.0;10.0
2.0;10.0
3.0;10.0
4.0;10.0
5.0;10.0
6.0;10.0
7.0;10.0
8.0;10.0
9.0;10.0
10.0;10.0
11.0;100.0
12.0;100.0
13.0;100.0
14.0;100.0
15.0;100.0
16.0;100.0
17.0;90.0
18.0;80.0
19.0;90.0
20.0;100.0
21.0;100.0
22.0;100.0
23.0;100.0
24.0;100.0
25.0;100.0
26.0;100.0
27.0;100.0
28.0;100.0
29.0;100.0
30.0;100.0
31.0;100.0
32.0;100.0
33.0;100.0
34.0;100.0
35.0;100.0
36.0;100.0
37.0;100.0
38.0;73.33333333333333
39.0;46.666666666666664
40.0;20.0
41.0;20.0
42.0;20.0
43.0;20.0
44.0;20.0
45.0;20.0
46.0;20.0
47.0;20.0
48.0;20.0
49.0;20.0
50.0;20.0
51.0;20.0
52.0;20.0
53.0;20.0
54.0;20.0
55.0;20.0
56.0;30.0
57.0;30.0
58.0;0.0
59.0;0.0
60.0;15.0
61.0;15.0
62.0;15.0
63.0;15.0
64.0;15.0
65.0;15.0
66.0;0.0
67.0;0.0
68.0;20.0
69.0;20.0
70.0;20.0
71.0;20.0
72.0;20.0
73.0;0.0
74.0;0.0
75.0;20.0
76.0;20.0
77.0;20.0
78.0;20.0
79.0;20.0
80.0;20.0
81.0;15.0
82.0;15.0
83.0;15.0
84.0;0.0
85.0;0.0
86.0;40.0
87.0;40.0
88.0;40.0
89.0;0.0
90.0;0.0
