'Time [W]';'Power [W]'
0.0;12.99
0.16666666666666666;44.69
0.3333333333333333;39.78
0.5;15.68
0.6666666666666666;31.42
0.8333333333333334;59.77
1.0;35.53
1.1666666666666667;14.59
1.3333333333333333;13.72
1.5;5.84
1.6666666666666665;0.49
1.8333333333333335;3.64
2.0;6.45
2.166666666666667;0.51
2.3333333333333335;0.5
2.4999999999999996;0.08
2.6666666666666665;0.06
2.8333333333333335;0.19
3.0;0.21
3.166666666666667;0.04
3.3333333333333335;0.13
3.4999999999999996;0.04
3.6666666666666665;0.13
3.8333333333333335;0.08
4.0;0.08
4.166666666666666;0.08
4.333333333333334;0.1
4.5;0.08
4.666666666666667;0.08
4.833333333333333;0.08
5.0;0.08
5.166666666666666;0.06
5.333333333333334;0.08
5.5;0.13
5.666666666666667;0.04
5.833333333333333;0.1
6.0;0.08
6.166666666666666;0.08
6.333333333333334;0.08
6.5;0.23
6.666666666666667;4.95
6.833333333333333;10.08
7.0;5.23
7.166666666666666;4.1
7.333333333333334;4.08
7.5;9.04
7.666666666666667;22.27
7.833333333333333;11.91
8.0;24.77
8.166666666666666;41.52
8.333333333333332;23.97
8.500000000000002;30.15
8.666666666666668;29.86
8.833333333333334;19.79
9.0;31.12
9.166666666666666;41.21
9.333333333333332;39.85
9.500000000000002;25.6
9.666666666666668;8.27
9.833333333333334;29.33
10.0;43.84
10.166666666666666;23.03
10.333333333333332;29.83
10.500000000000002;21.98
10.666666666666668;14.17
10.833333333333334;20.8
11.0;29.88
11.166666666666666;48.44
11.333333333333332;48.18
11.500000000000002;43.44
11.666666666666668;36.19
11.833333333333334;49.69
12.0;44.52
12.166666666666666;36.81
12.333333333333332;34.66
12.500000000000002;55.05
12.666666666666668;53.55
12.833333333333334;39.36
13.0;35.01
13.166666666666666;54.35
13.333333333333332;48.03
13.500000000000002;59.51
13.666666666666668;59.97
13.833333333333334;102.22
14.0;124.84
14.166666666666666;136.11
14.333333333333332;148.0
14.500000000000002;188.05
14.666666666666668;216.55
14.833333333333334;228.0
15.0;192.69
15.166666666666666;162.67
15.333333333333332;209.73
15.500000000000002;197.03
15.666666666666668;121.01
15.833333333333334;104.82
16.0;98.35
16.166666666666668;76.25
16.333333333333332;72.95
16.5;90.07
16.666666666666664;59.53
16.833333333333332;50.89
17.0;32.99
17.166666666666668;25.44
17.333333333333332;53.8
17.5;48.74
17.666666666666664;30.69
17.833333333333332;39.65
18.0;25.64
18.166666666666668;24.25
18.333333333333332;10.58
18.5;21.54
18.666666666666664;24.0
18.833333333333332;22.6
19.0;32.39
19.166666666666668;20.47
19.333333333333332;21.34
19.5;30.76
19.666666666666664;37.74
19.833333333333332;45.37
20.0;54.8
20.166666666666668;52.82
20.333333333333332;58.54
20.5;60.3
20.666666666666664;83.9
20.833333333333332;96.74
21.0;105.94
21.166666666666668;104.02
21.333333333333332;116.85
21.5;136.53
21.666666666666664;168.31
21.833333333333332;143.85
22.0;143.66
22.166666666666668;95.91
22.333333333333332;75.65
22.5;101.28
22.666666666666664;92.32
22.833333333333332;70.52
23.0;58.19
23.166666666666668;55.02
23.333333333333332;53.09
23.5;45.34
23.666666666666664;58.16
23.833333333333332;44.28
