'Time [W]';'Power [W]'
0.0;58.04
0.16666666666666666;57.31
0.3333333333333333;57.88
0.5;56.85
0.6666666666666666;57.23
0.8333333333333334;55.12
1.0;55.56
1.1666666666666667;58.0
1.3333333333333333;58.0
1.5;55.16
1.6666666666666665;61.71
1.8333333333333335;56.82
2.0;57.0
2.166666666666667;57.52
2.3333333333333335;56.0
2.4999999999999996;54.83
2.6666666666666665;55.33
2.8333333333333335;58.83
3.0;55.94
3.166666666666667;57.78
3.3333333333333335;52.99
3.4999999999999996;53.67
3.6666666666666665;56.94
3.8333333333333335;57.1
4.0;62.35
4.166666666666666;53.82
4.333333333333334;56.79
4.5;55.2
4.666666666666667;55.09
4.833333333333333;57.61
5.0;55.22
5.166666666666666;55.35
5.333333333333334;57.09
5.5;54.52
5.666666666666667;52.06
5.833333333333333;53.81
6.0;55.72
6.166666666666666;55.87
6.333333333333334;54.5
6.5;54.8
6.666666666666667;53.11
6.833333333333333;53.9
7.0;55.13
7.166666666666666;57.43
7.333333333333334;55.67
7.5;54.91
7.666666666666667;53.9
7.833333333333333;53.12
8.0;55.3
8.166666666666666;55.89
8.333333333333332;53.37
8.500000000000002;54.38
8.666666666666668;55.38
8.833333333333334;58.45
9.0;56.73
9.166666666666666;55.75
9.333333333333332;54.72
9.500000000000002;53.11
9.666666666666668;55.17
9.833333333333334;53.83
10.0;53.67
10.166666666666666;56.88
10.333333333333332;56.83
10.500000000000002;56.55
10.666666666666668;53.55
10.833333333333334;56.81
11.0;60.15
11.166666666666666;56.71
11.333333333333332;56.07
11.500000000000002;54.7
11.666666666666668;56.1
11.833333333333334;58.98
12.0;58.57
12.166666666666666;55.67
12.333333333333332;63.42
12.500000000000002;58.55
12.666666666666668;58.79
12.833333333333334;59.22
13.0;57.72
13.166666666666666;58.5
13.333333333333332;58.26
13.500000000000002;56.63
13.666666666666668;57.45
13.833333333333334;58.69
14.0;59.73
14.166666666666666;56.81
14.333333333333332;58.1
14.500000000000002;56.13
14.666666666666668;55.8
14.833333333333334;55.05
15.0;58.01
15.166666666666666;59.55
15.333333333333332;60.54
15.500000000000002;61.38
15.666666666666668;55.16
15.833333333333334;57.13
16.0;57.38
16.166666666666668;58.76
16.333333333333332;58.95
16.5;57.36
16.666666666666664;55.96
16.833333333333332;56.84
17.0;59.85
17.166666666666668;58.0
17.333333333333332;56.68
17.5;59.46
17.666666666666664;60.43
17.833333333333332;59.14
18.0;57.85
18.166666666666668;57.39
18.333333333333332;56.93
18.5;59.58
18.666666666666664;56.93
18.833333333333332;59.27
19.0;59.4
19.166666666666668;59.8
19.333333333333332;58.66
19.5;59.72
19.666666666666664;57.53
19.833333333333332;55.95
20.0;56.58
20.166666666666668;58.54
20.333333333333332;57.8
20.5;59.29
20.666666666666664;59.48
20.833333333333332;58.81
21.0;57.86
21.166666666666668;59.73
21.333333333333332;58.54
21.5;57.24
21.666666666666664;57.35
21.833333333333332;58.2
22.0;56.13
22.166666666666668;57.99
22.333333333333332;57.54
22.5;56.8
22.666666666666664;60.56
22.833333333333332;57.85
23.0;55.9
23.166666666666668;54.67
23.333333333333332;56.09
23.5;56.54
23.666666666666664;59.27
23.833333333333332;56.58
