'Time [W]';'Power [W]'
0.0;11.84
0.16666666666666666;11.41
0.3333333333333333;11.2
0.5;10.8
0.6666666666666666;10.6
0.8333333333333334;9.51
1.0;8.7
1.1666666666666667;9.09
1.3333333333333333;8.42
1.5;7.58
1.6666666666666665;6.28
1.8333333333333335;6.59
2.0;6.37
2.166666666666667;5.96
2.3333333333333335;5.72
2.4999999999999996;5.56
2.6666666666666665;5.09
2.8333333333333335;5.0
3.0;4.96
3.166666666666667;4.95
3.3333333333333335;4.72
3.4999999999999996;4.78
3.6666666666666665;4.7
3.8333333333333335;4.76
4.0;4.78
4.166666666666666;4.73
4.333333333333334;4.78
4.5;4.79
4.666666666666667;4.67
4.833333333333333;4.82
5.0;4.73
5.166666666666666;4.78
5.333333333333334;4.79
5.5;4.71
5.666666666666667;4.84
5.833333333333333;4.7
6.0;4.83
6.166666666666666;4.87
6.333333333333334;4.84
6.5;5.25
6.666666666666667;5.36
6.833333333333333;5.53
7.0;5.93
7.166666666666666;6.3
7.333333333333334;6.43
7.5;6.69
7.666666666666667;6.9
7.833333333333333;7.0
8.0;7.61
8.166666666666666;7.95
8.333333333333332;8.03
8.500000000000002;8.34
8.666666666666668;8.64
8.833333333333334;8.69
9.0;8.93
9.166666666666666;9.81
9.333333333333332;10.49
9.500000000000002;10.93
9.666666666666668;11.26
9.833333333333334;11.38
10.0;11.47
10.166666666666666;12.05
10.333333333333332;12.87
10.500000000000002;13.82
10.666666666666668;14.08
10.833333333333334;13.96
11.0;14.0
11.166666666666666;15.18
11.333333333333332;15.71
11.500000000000002;16.0
11.666666666666668;16.56
11.833333333333334;17.43
12.0;17.64
12.166666666666666;18.31
12.333333333333332;17.84
12.500000000000002;18.24
12.666666666666668;17.37
12.833333333333334;16.98
13.0;17.9
13.166666666666666;16.59
13.333333333333332;16.46
13.500000000000002;17.63
13.666666666666668;17.17
13.833333333333334;16.14
14.0;16.5
14.166666666666666;17.81
14.333333333333332;18.21
14.500000000000002;19.63
14.666666666666668;21.25
14.833333333333334;21.56
15.0;21.8
15.166666666666666;21.45
15.333333333333332;21.72
15.500000000000002;21.74
15.666666666666668;21.51
15.833333333333334;21.75
16.0;21.11
16.166666666666668;20.64
16.333333333333332;20.37
16.5;20.34
16.666666666666664;20.48
16.833333333333332;21.24
17.0;21.62
17.166666666666668;21.2
17.333333333333332;21.73
17.5;22.01
17.666666666666664;21.98
17.833333333333332;22.5
18.0;22.54
18.166666666666668;22.33
18.333333333333332;22.85
18.5;23.73
18.666666666666664;24.54
18.833333333333332;26.17
19.0;26.71
19.166666666666668;25.88
19.333333333333332;25.69
19.5;25.55
19.666666666666664;24.44
19.833333333333332;24.34
20.0;24.27
20.166666666666668;23.47
20.333333333333332;22.37
20.5;20.9
20.666666666666664;20.16
20.833333333333332;20.23
21.0;20.36
21.166666666666668;20.55
21.333333333333332;20.94
21.5;21.6
21.666666666666664;21.88
21.833333333333332;23.06
22.0;22.54
22.166666666666668;21.96
22.333333333333332;21.31
22.5;20.9
22.666666666666664;20.22
22.833333333333332;18.95
23.0;18.06
23.166666666666668;17.02
23.333333333333332;16.46
23.5;15.07
23.666666666666664;13.48
23.833333333333332;12.71
