'Time [W]';'Power [W]'
0.0;4.66
0.16666666666666666;4.8
0.3333333333333333;1.61
0.5;1.16
0.6666666666666666;0.68
0.8333333333333334;2.66
1.0;5.97
1.1666666666666667;4.15
1.3333333333333333;0.28
1.5;0.96
1.6666666666666665;5.38
1.8333333333333335;5.5
2.0;0.67
2.166666666666667;0.76
2.3333333333333335;0.67
2.4999999999999996;1.21
2.6666666666666665;0.12
2.8333333333333335;0.0
3.0;0.0
3.166666666666667;0.0
3.3333333333333335;0.0
3.4999999999999996;0.0
3.6666666666666665;0.0
3.8333333333333335;0.0
4.0;0.0
4.166666666666666;0.0
4.333333333333334;0.0
4.5;0.0
4.666666666666667;0.0
4.833333333333333;0.0
5.0;0.0
5.166666666666666;0.0
5.333333333333334;0.48
5.5;2.69
5.666666666666667;2.87
5.833333333333333;3.34
6.0;1.31
6.166666666666666;0.2
6.333333333333334;1.25
6.5;5.12
6.666666666666667;5.16
6.833333333333333;5.48
7.0;3.67
7.166666666666666;3.07
7.333333333333334;4.25
7.5;3.74
7.666666666666667;3.98
7.833333333333333;13.6
8.0;7.42
8.166666666666666;20.66
8.333333333333332;32.78
8.500000000000002;48.56
8.666666666666668;64.53
8.833333333333334;65.04
9.0;59.46
9.166666666666666;56.64
9.333333333333332;74.34
9.500000000000002;86.91
9.666666666666668;85.82
9.833333333333334;77.85
10.0;80.6
10.166666666666666;78.88
10.333333333333332;76.18
10.500000000000002;76.47
10.666666666666668;78.29
10.833333333333334;85.14
11.0;78.05
11.166666666666666;80.78
11.333333333333332;91.13
11.500000000000002;93.87
11.666666666666668;94.6
11.833333333333334;82.69
12.0;83.23
12.166666666666666;70.59
12.333333333333332;72.94
12.500000000000002;75.04
12.666666666666668;61.65
12.833333333333334;56.56
13.0;56.35
13.166666666666666;51.24
13.333333333333332;46.31
13.500000000000002;62.57
13.666666666666668;49.76
13.833333333333334;34.65
14.0;37.87
14.166666666666666;48.08
14.333333333333332;51.36
14.500000000000002;41.39
14.666666666666668;22.77
14.833333333333334;42.17
15.0;48.89
15.166666666666666;48.46
15.333333333333332;55.22
15.500000000000002;57.57
15.666666666666668;52.29
15.833333333333334;45.07
16.0;47.77
16.166666666666668;45.55
16.333333333333332;46.0
16.5;40.47
16.666666666666664;29.56
16.833333333333332;25.59
17.0;22.81
17.166666666666668;21.34
17.333333333333332;26.25
17.5;35.3
17.666666666666664;41.78
17.833333333333332;45.43
18.0;47.51
18.166666666666668;54.86
18.333333333333332;56.01
18.5;38.79
18.666666666666664;37.81
18.833333333333332;39.0
19.0;39.57
19.166666666666668;43.75
19.333333333333332;37.2
19.5;47.13
19.666666666666664;42.61
19.833333333333332;42.87
20.0;30.26
20.166666666666668;26.17
20.333333333333332;14.17
20.5;25.67
20.666666666666664;23.79
20.833333333333332;23.8
21.0;17.95
21.166666666666668;18.39
21.333333333333332;20.79
21.5;15.08
21.666666666666664;14.35
21.833333333333332;20.09
22.0;23.44
22.166666666666668;16.76
22.333333333333332;19.79
22.5;17.54
22.666666666666664;10.57
22.833333333333332;9.98
23.0;9.96
23.166666666666668;7.55
23.333333333333332;5.16
23.5;3.57
23.666666666666664;4.83
23.833333333333332;1.69
