'Time [W]';'Power [W]'
0.0;1.92
0.16666666666666666;1.08
0.3333333333333333;1.07
0.5;0.71
0.6666666666666666;0.66
0.8333333333333334;0.51
1.0;0.46
1.1666666666666667;0.35
1.3333333333333333;0.19
1.5;0.0
1.6666666666666665;0.43
1.8333333333333335;0.12
2.0;0.0
2.166666666666667;0.0
2.3333333333333335;0.01
2.4999999999999996;0.0
2.6666666666666665;0.0
2.8333333333333335;0.0
3.0;0.0
3.166666666666667;0.69
3.3333333333333335;1.84
3.4999999999999996;0.43
3.6666666666666665;0.68
3.8333333333333335;1.04
4.0;0.16
4.166666666666666;0.16
4.333333333333334;0.15
4.5;0.15
4.666666666666667;0.13
4.833333333333333;0.12
5.0;0.11
5.166666666666666;1.09
5.333333333333334;0.79
5.5;1.2
5.666666666666667;3.26
5.833333333333333;4.04
6.0;3.77
6.166666666666666;4.99
6.333333333333334;4.08
6.5;2.71
6.666666666666667;1.97
6.833333333333333;5.37
7.0;5.72
7.166666666666666;8.12
7.333333333333334;12.77
7.5;29.45
7.666666666666667;35.41
7.833333333333333;37.5
8.0;45.45
8.166666666666666;51.74
8.333333333333332;67.05
8.500000000000002;67.33
8.666666666666668;63.34
8.833333333333334;67.96
9.0;80.88
9.166666666666666;76.41
9.333333333333332;84.58
9.500000000000002;91.88
9.666666666666668;82.35
9.833333333333334;87.75
10.0;82.52
10.166666666666666;77.5
10.333333333333332;78.3
10.500000000000002;77.08
10.666666666666668;68.23
10.833333333333334;63.23
11.0;61.84
11.166666666666666;60.87
11.333333333333332;62.26
11.500000000000002;56.47
11.666666666666668;58.22
11.833333333333334;51.33
12.0;47.05
12.166666666666666;57.83
12.333333333333332;56.89
12.500000000000002;45.72
12.666666666666668;56.88
12.833333333333334;45.67
13.0;42.88
13.166666666666666;34.09
13.333333333333332;35.55
13.500000000000002;43.15
13.666666666666668;43.34
13.833333333333334;29.15
14.0;27.83
14.166666666666666;28.26
14.333333333333332;29.58
14.500000000000002;33.97
14.666666666666668;47.84
14.833333333333334;46.21
15.0;39.33
15.166666666666666;41.74
15.333333333333332;44.1
15.500000000000002;38.13
15.666666666666668;33.17
15.833333333333334;26.21
16.0;36.55
16.166666666666668;34.43
16.333333333333332;32.54
16.5;30.3
16.666666666666664;28.47
16.833333333333332;29.1
17.0;25.35
17.166666666666668;28.89
17.333333333333332;29.75
17.5;36.01
17.666666666666664;31.14
17.833333333333332;29.78
18.0;40.49
18.166666666666668;29.67
18.333333333333332;27.77
18.5;31.88
18.666666666666664;33.94
18.833333333333332;22.74
19.0;27.98
19.166666666666668;24.7
19.333333333333332;31.19
19.5;30.16
19.666666666666664;37.85
19.833333333333332;28.87
20.0;30.38
20.166666666666668;25.44
20.333333333333332;20.78
20.5;22.2
20.666666666666664;24.08
20.833333333333332;22.32
21.0;27.41
21.166666666666668;22.7
21.333333333333332;25.93
21.5;21.75
21.666666666666664;20.15
21.833333333333332;24.4
22.0;20.15
22.166666666666668;20.77
22.333333333333332;15.27
22.5;15.04
22.666666666666664;10.17
22.833333333333332;9.65
23.0;12.58
23.166666666666668;12.84
23.333333333333332;9.2
23.5;5.74
23.666666666666664;3.4
23.833333333333332;3.88
