'Time [h]';'Power [W]'
0.0;45.14
0.16666666666666666;40.08
0.3333333333333333;36.47
0.5;34.53
0.6666666666666666;35.12
0.8333333333333334;35.04
1.0;32.46
1.1666666666666667;31.06
1.3333333333333333;31.24
1.5;30.82
1.6666666666666665;31.1
1.8333333333333335;30.22
2.0;26.85
2.166666666666667;21.75
2.3333333333333335;17.33
2.4999999999999996;15.45
2.6666666666666665;13.26
2.8333333333333335;12.38
3.0;12.87
3.166666666666667;12.85
3.3333333333333335;9.88
3.4999999999999996;9.61
3.6666666666666665;9.47
3.8333333333333335;8.43
4.0;9.25
4.166666666666666;7.99
4.333333333333334;8.41
4.5;8.34
4.666666666666667;8.44
4.833333333333333;9.2
5.0;9.91
5.166666666666666;9.15
5.333333333333334;9.34
5.5;10.32
5.666666666666667;10.49
5.833333333333333;9.24
6.0;13.95
6.166666666666666;17.34
6.333333333333334;19.77
6.5;20.49
6.666666666666667;23.69
6.833333333333333;29.26
7.0;35.06
7.166666666666666;39.65
7.333333333333334;40.76
7.5;37.7
7.666666666666667;33.87
7.833333333333333;33.9
8.0;34.22
8.166666666666666;32.03
8.333333333333332;31.26
8.500000000000002;32.16
8.666666666666668;33.91
8.833333333333334;42.35
9.0;47.67
9.166666666666666;48.21
9.333333333333332;52.07
9.500000000000002;50.58
9.666666666666668;47.48
9.833333333333334;41.26
10.0;41.51
10.166666666666666;40.27
10.333333333333332;41.09
10.500000000000002;44.2
10.666666666666668;45.6
10.833333333333334;44.63
11.0;45.43
11.166666666666666;46.07
11.333333333333332;42.0
11.500000000000002;39.74
11.666666666666668;40.24
11.833333333333334;45.3
12.0;41.6
12.166666666666666;40.44
12.333333333333332;40.45
12.500000000000002;37.09
12.666666666666668;37.64
12.833333333333334;37.36
13.0;39.65
13.166666666666666;43.4
13.333333333333332;45.39
13.500000000000002;46.42
13.666666666666668;48.48
13.833333333333334;49.91
14.0;51.09
14.166666666666666;53.57
14.333333333333332;49.17
14.500000000000002;47.75
14.666666666666668;45.02
14.833333333333334;46.02
15.0;48.44
15.166666666666666;51.88
15.333333333333332;51.24
15.500000000000002;54.36
15.666666666666668;54.61
15.833333333333334;55.31
16.0;55.88
16.166666666666668;54.99
16.333333333333332;58.4
16.5;62.42
16.666666666666664;66.02
16.833333333333332;72.17
17.0;76.29
17.166666666666668;84.92
17.333333333333332;91.45
17.5;94.92
17.666666666666664;95.77
17.833333333333332;99.48
18.0;103.36
18.166666666666668;109.96
18.333333333333332;110.29
18.5;112.99
18.666666666666664;116.59
18.833333333333332;119.54
19.0;114.05
19.166666666666668;113.09
19.333333333333332;109.81
19.5;109.23
19.666666666666664;109.64
19.833333333333332;107.44
20.0;105.74
20.166666666666668;112.29
20.333333333333332;112.9
20.5;111.55
20.666666666666664;108.12
20.833333333333332;102.95
21.0;101.33
21.166666666666668;103.88
21.333333333333332;106.92
21.5;108.48
21.666666666666664;106.09
21.833333333333332;102.46
22.0;105.23
22.166666666666668;105.26
22.333333333333332;99.42
22.5;91.87
22.666666666666664;88.74
22.833333333333332;82.22
23.0;75.07
23.166666666666668;75.64
23.333333333333332;67.15
23.5;61.83
23.666666666666664;54.25
23.833333333333332;48.86
