'Time (h)';'Power (W)'
0.0;26.33
0.16666666666666666;32.02
0.3333333333333333;35.1
0.5;36.87
0.6666666666666666;34.68
0.8333333333333334;30.13
1.0;14.98
1.1666666666666667;17.67
1.3333333333333333;4.93
1.5;3.25
1.6666666666666665;1.61
1.8333333333333335;7.77
2.0;15.26
2.166666666666667;9.09
2.3333333333333335;0.71
2.4999999999999996;1.13
2.6666666666666665;2.19
2.8333333333333335;0.25
3.0;0.09
3.166666666666667;0.04
3.3333333333333335;0.05
3.4999999999999996;0.06
3.6666666666666665;0.06
3.8333333333333335;0.04
4.0;0.06
4.166666666666666;0.03
4.333333333333334;0.07
4.5;0.03
4.666666666666667;0.08
4.833333333333333;0.03
5.0;0.06
5.166666666666666;0.05
5.333333333333334;0.06
5.5;0.03
5.666666666666667;0.08
5.833333333333333;0.03
6.0;0.05
6.166666666666666;1.31
6.333333333333334;6.73
6.5;14.08
6.666666666666667;14.11
6.833333333333333;10.81
7.0;18.56
7.166666666666666;25.8
7.333333333333334;25.19
7.5;33.68
7.666666666666667;43.64
7.833333333333333;50.68
8.0;43.32
8.166666666666666;42.0
8.333333333333332;49.41
8.500000000000002;51.42
8.666666666666668;41.33
8.833333333333334;46.99
9.0;61.79
9.166666666666666;53.97
9.333333333333332;58.12
9.500000000000002;59.4
9.666666666666668;86.91
9.833333333333334;65.77
10.0;55.5
10.166666666666666;49.61
10.333333333333332;73.55
10.500000000000002;75.82
10.666666666666668;73.34
10.833333333333334;67.47
11.0;36.02
11.166666666666666;17.99
11.333333333333332;43.14
11.500000000000002;46.59
11.666666666666668;16.3
11.833333333333334;21.64
12.0;40.92
12.166666666666666;30.72
12.333333333333332;20.81
12.500000000000002;4.66
12.666666666666668;19.03
12.833333333333334;14.4
13.0;8.91
13.166666666666666;13.85
13.333333333333332;25.22
13.500000000000002;30.9
13.666666666666668;37.65
13.833333333333334;46.0
14.0;85.57
14.166666666666666;95.39
14.333333333333332;96.61
14.500000000000002;85.64
14.666666666666668;96.28
14.833333333333334;113.52
15.0;117.16
15.166666666666666;101.58
15.333333333333332;106.45
15.500000000000002;97.83
15.666666666666668;96.93
15.833333333333334;96.7
16.0;92.4
16.166666666666668;88.73
16.333333333333332;83.24
16.5;62.06
16.666666666666664;58.41
16.833333333333332;50.53
17.0;27.64
17.166666666666668;36.77
17.333333333333332;36.23
17.5;37.24
17.666666666666664;29.65
17.833333333333332;14.15
18.0;16.45
18.166666666666668;15.51
18.333333333333332;12.64
18.5;6.79
18.666666666666664;7.78
18.833333333333332;17.7
19.0;14.78
19.166666666666668;8.15
19.333333333333332;17.63
19.5;9.3
19.666666666666664;6.12
19.833333333333332;29.17
20.0;45.49
20.166666666666668;46.4
20.333333333333332;62.39
20.5;82.6
20.666666666666664;109.86
20.833333333333332;111.85
21.0;130.51
21.166666666666668;130.47
21.333333333333332;151.67
21.5;202.34
21.666666666666664;180.29
21.833333333333332;163.91
22.0;179.39
22.166666666666668;183.24
22.333333333333332;170.16
22.5;124.33
22.666666666666664;111.82
22.833333333333332;78.87
23.0;69.86
23.166666666666668;53.28
23.333333333333332;49.97
23.5;41.94
23.666666666666664;61.29
23.833333333333332;43.71
