'Time (h)';'Power (W)'
0.0;67.52
0.16666666666666666;64.93
0.3333333333333333;62.18
0.5;64.28
0.6666666666666666;66.57
0.8333333333333334;66.37
1.0;66.13
1.1666666666666667;66.89
1.3333333333333333;65.72
1.5;68.56
1.6666666666666665;64.87
1.8333333333333335;67.01
2.0;69.7
2.166666666666667;62.21
2.3333333333333335;62.89
2.4999999999999996;62.41
2.6666666666666665;61.64
2.8333333333333335;63.36
3.0;64.7
3.166666666666667;60.0
3.3333333333333335;60.44
3.4999999999999996;61.82
3.6666666666666665;62.61
3.8333333333333335;60.52
4.0;61.63
4.166666666666666;60.11
4.333333333333334;61.13
4.5;60.59
4.666666666666667;60.21
4.833333333333333;61.55
5.0;62.12
5.166666666666666;60.17
5.333333333333334;60.08
5.5;59.59
5.666666666666667;60.65
5.833333333333333;60.9
6.0;59.18
6.166666666666666;59.18
6.333333333333334;59.58
6.5;60.37
6.666666666666667;60.0
6.833333333333333;62.62
7.0;62.72
7.166666666666666;60.52
7.333333333333334;61.86
7.5;59.82
7.666666666666667;61.28
7.833333333333333;62.0
8.0;61.96
8.166666666666666;58.91
8.333333333333332;63.12
8.500000000000002;63.72
8.666666666666668;59.34
8.833333333333334;60.55
9.0;61.52
9.166666666666666;61.07
9.333333333333332;61.49
9.500000000000002;62.7
9.666666666666668;62.07
9.833333333333334;60.63
10.0;61.92
10.166666666666666;61.29
10.333333333333332;60.63
10.500000000000002;63.01
10.666666666666668;64.38
10.833333333333334;62.11
11.0;61.52
11.166666666666666;61.93
11.333333333333332;62.91
11.500000000000002;63.12
11.666666666666668;62.34
11.833333333333334;65.61
12.0;65.28
12.166666666666666;65.63
12.333333333333332;65.81
12.500000000000002;67.1
12.666666666666668;67.59
12.833333333333334;65.38
13.0;67.32
13.166666666666666;66.18
13.333333333333332;66.51
13.500000000000002;68.78
13.666666666666668;70.13
13.833333333333334;69.4
14.0;64.03
14.166666666666666;65.43
14.333333333333332;68.95
14.500000000000002;67.74
14.666666666666668;67.41
14.833333333333334;66.0
15.0;65.95
15.166666666666666;64.96
15.333333333333332;64.36
15.500000000000002;66.78
15.666666666666668;66.22
15.833333333333334;65.79
16.0;67.17
16.166666666666668;66.56
16.333333333333332;66.38
16.5;63.98
16.666666666666664;62.58
16.833333333333332;63.81
17.0;64.02
17.166666666666668;64.02
17.333333333333332;66.0
17.5;67.04
17.666666666666664;65.87
17.833333333333332;68.32
18.0;66.93
18.166666666666668;65.08
18.333333333333332;66.02
18.5;67.47
18.666666666666664;64.81
18.833333333333332;66.58
19.0;66.58
19.166666666666668;68.46
19.333333333333332;68.71
19.5;70.4
19.666666666666664;70.64
19.833333333333332;70.72
20.0;70.02
20.166666666666668;68.9
20.333333333333332;70.59
20.5;71.84
20.666666666666664;70.62
20.833333333333332;67.87
21.0;71.12
21.166666666666668;71.62
21.333333333333332;70.56
21.5;69.17
21.666666666666664;69.61
21.833333333333332;68.07
22.0;67.12
22.166666666666668;68.09
22.333333333333332;68.07
22.5;67.99
22.666666666666664;65.9
22.833333333333332;69.42
23.0;68.22
23.166666666666668;66.81
23.333333333333332;64.64
23.5;62.88
23.666666666666664;67.22
23.833333333333332;68.56
