'Time (h)';'Power (W)'
0.0;87.86
0.16666666666666666;87.92
0.3333333333333333;85.39
0.5;85.71
0.6666666666666666;81.17
0.8333333333333334;71.89
1.0;68.74
1.1666666666666667;62.97
1.3333333333333333;58.55
1.5;55.9
1.6666666666666665;51.42
1.8333333333333335;49.44
2.0;46.45
2.166666666666667;45.53
2.3333333333333335;44.62
2.4999999999999996;39.41
2.6666666666666665;35.78
2.8333333333333335;35.97
3.0;35.48
3.166666666666667;33.56
3.3333333333333335;27.7
3.4999999999999996;28.13
3.6666666666666665;26.49
3.8333333333333335;24.56
4.0;21.85
4.166666666666666;19.4
4.333333333333334;18.17
4.5;17.63
4.666666666666667;17.99
4.833333333333333;16.53
5.0;14.75
5.166666666666666;14.22
5.333333333333334;11.14
5.5;9.49
5.666666666666667;9.0
5.833333333333333;11.85
6.0;12.53
6.166666666666666;15.16
6.333333333333334;19.44
6.5;15.77
6.666666666666667;15.11
6.833333333333333;20.96
7.0;22.08
7.166666666666666;25.61
7.333333333333334;28.09
7.5;28.64
7.666666666666667;30.32
7.833333333333333;30.87
8.0;32.87
8.166666666666666;34.42
8.333333333333332;33.12
8.500000000000002;34.11
8.666666666666668;33.96
8.833333333333334;35.08
9.0;35.89
9.166666666666666;37.42
9.333333333333332;42.54
9.500000000000002;45.22
9.666666666666668;45.36
9.833333333333334;43.71
10.0;39.89
10.166666666666666;37.64
10.333333333333332;38.56
10.500000000000002;41.05
10.666666666666668;40.34
10.833333333333334;40.41
11.0;43.94
11.166666666666666;45.78
11.333333333333332;51.01
11.500000000000002;50.39
11.666666666666668;48.51
11.833333333333334;46.82
12.0;48.93
12.166666666666666;40.02
12.333333333333332;40.2
12.500000000000002;37.43
12.666666666666668;39.5
12.833333333333334;44.46
13.0;36.82
13.166666666666666;37.43
13.333333333333332;37.49
13.500000000000002;42.32
13.666666666666668;38.53
13.833333333333334;35.47
14.0;38.42
14.166666666666666;46.1
14.333333333333332;43.91
14.500000000000002;40.09
14.666666666666668;43.75
14.833333333333334;40.74
15.0;41.07
15.166666666666666;38.72
15.333333333333332;42.2
15.500000000000002;40.6
15.666666666666668;41.82
15.833333333333334;40.52
16.0;41.48
16.166666666666668;42.11
16.333333333333332;38.86
16.5;33.89
16.666666666666664;34.62
16.833333333333332;38.62
17.0;36.08
17.166666666666668;34.72
17.333333333333332;40.4
17.5;38.57
17.666666666666664;38.31
17.833333333333332;39.43
18.0;42.18
18.166666666666668;44.96
18.333333333333332;51.5
18.5;59.85
18.666666666666664;61.76
18.833333333333332;62.8
19.0;68.11
19.166666666666668;68.42
19.333333333333332;71.9
19.5;79.55
19.666666666666664;81.72
19.833333333333332;86.99
20.0;86.49
20.166666666666668;93.38
20.333333333333332;97.57
20.5;108.29
20.666666666666664;108.55
20.833333333333332;110.37
21.0;111.0
21.166666666666668;106.72
21.333333333333332;105.94
21.5;105.64
21.666666666666664;117.66
21.833333333333332;111.44
22.0;108.46
22.166666666666668;106.45
22.333333333333332;109.7
22.5;101.29
22.666666666666664;99.54
22.833333333333332;102.24
23.0;100.81
23.166666666666668;94.78
23.333333333333332;93.1
23.5;93.53
23.666666666666664;93.78
23.833333333333332;90.71
