'Time (h)';'Power (W)'
0.0;77.44
0.16666666666666666;78.98
0.3333333333333333;72.42
0.5;73.93
0.6666666666666666;75.5
0.8333333333333334;67.37
1.0;57.68
1.1666666666666667;50.45
1.3333333333333333;49.0
1.5;49.43
1.6666666666666665;44.08
1.8333333333333335;46.52
2.0;46.23
2.166666666666667;44.71
2.3333333333333335;44.73
2.4999999999999996;44.45
2.6666666666666665;40.32
2.8333333333333335;35.36
3.0;32.83
3.166666666666667;31.09
3.3333333333333335;27.05
3.4999999999999996;26.88
3.6666666666666665;29.01
3.8333333333333335;21.59
4.0;19.23
4.166666666666666;20.23
4.333333333333334;19.6
4.5;14.81
4.666666666666667;16.78
4.833333333333333;15.93
5.0;16.02
5.166666666666666;14.19
5.333333333333334;12.95
5.5;8.91
5.666666666666667;7.26
5.833333333333333;8.91
6.0;10.36
6.166666666666666;14.91
6.333333333333334;17.75
6.5;18.39
6.666666666666667;18.16
6.833333333333333;17.36
7.0;21.15
7.166666666666666;21.48
7.333333333333334;18.45
7.5;20.7
7.666666666666667;23.45
7.833333333333333;22.27
8.0;22.53
8.166666666666666;20.99
8.333333333333332;17.21
8.500000000000002;14.53
8.666666666666668;15.47
8.833333333333334;16.14
9.0;17.54
9.166666666666666;18.07
9.333333333333332;18.41
9.500000000000002;22.37
9.666666666666668;25.34
9.833333333333334;27.91
10.0;21.86
10.166666666666666;21.77
10.333333333333332;23.7
10.500000000000002;25.36
10.666666666666668;25.71
10.833333333333334;24.8
11.0;31.38
11.166666666666666;36.71
11.333333333333332;34.28
11.500000000000002;33.63
11.666666666666668;36.42
11.833333333333334;37.73
12.0;31.6
12.166666666666666;33.09
12.333333333333332;42.87
12.500000000000002;43.58
12.666666666666668;42.9
12.833333333333334;41.75
13.0;36.39
13.166666666666666;35.91
13.333333333333332;36.39
13.500000000000002;33.9
13.666666666666668;26.17
13.833333333333334;20.12
14.0;18.42
14.166666666666666;20.92
14.333333333333332;22.95
14.500000000000002;25.08
14.666666666666668;23.5
14.833333333333334;23.93
15.0;22.98
15.166666666666666;22.22
15.333333333333332;20.91
15.500000000000002;20.84
15.666666666666668;21.79
15.833333333333334;21.3
16.0;23.69
16.166666666666668;25.15
16.333333333333332;25.28
16.5;27.01
16.666666666666664;29.33
16.833333333333332;33.47
17.0;34.85
17.166666666666668;33.95
17.333333333333332;33.3
17.5;32.15
17.666666666666664;33.31
17.833333333333332;33.79
18.0;37.2
18.166666666666668;41.74
18.333333333333332;39.27
18.5;42.53
18.666666666666664;45.54
18.833333333333332;44.39
19.0;44.52
19.166666666666668;43.25
19.333333333333332;45.7
19.5;47.67
19.666666666666664;49.0
19.833333333333332;54.71
20.0;55.86
20.166666666666668;56.22
20.333333333333332;67.63
20.5;71.96
20.666666666666664;74.91
20.833333333333332;75.64
21.0;83.51
21.166666666666668;87.71
21.333333333333332;87.01
21.5;86.79
21.666666666666664;88.03
21.833333333333332;93.19
22.0;89.9
22.166666666666668;93.71
22.333333333333332;96.86
22.5;100.85
22.666666666666664;92.61
22.833333333333332;93.46
23.0;89.53
23.166666666666668;88.5
23.333333333333332;87.76
23.5;85.02
23.666666666666664;82.22
23.833333333333332;78.82
