'Time (h)';'Power (W)'
0.0;16.65
0.16666666666666666;15.39
0.3333333333333333;14.48
0.5;13.21
0.6666666666666666;11.93
0.8333333333333334;10.89
1.0;9.6
1.1666666666666667;8.71
1.3333333333333333;8.49
1.5;7.93
1.6666666666666665;7.08
1.8333333333333335;6.61
2.0;6.39
2.166666666666667;6.25
2.3333333333333335;6.19
2.4999999999999996;5.98
2.6666666666666665;5.83
2.8333333333333335;5.64
3.0;5.62
3.166666666666667;5.44
3.3333333333333335;5.28
3.4999999999999996;5.18
3.6666666666666665;5.03
3.8333333333333335;5.01
4.0;4.91
4.166666666666666;4.86
4.333333333333334;4.74
4.5;4.74
4.666666666666667;4.66
4.833333333333333;4.65
5.0;4.74
5.166666666666666;4.71
5.333333333333334;4.72
5.5;4.78
5.666666666666667;4.7
5.833333333333333;4.89
6.0;5.15
6.166666666666666;5.47
6.333333333333334;5.82
6.5;6.13
6.666666666666667;6.49
6.833333333333333;7.09
7.0;7.7
7.166666666666666;8.87
7.333333333333334;9.59
7.5;10.01
7.666666666666667;9.92
7.833333333333333;9.9
8.0;10.59
8.166666666666666;10.43
8.333333333333332;9.97
8.500000000000002;9.89
8.666666666666668;9.71
8.833333333333334;9.46
9.0;9.11
9.166666666666666;8.49
9.333333333333332;7.92
9.500000000000002;7.76
9.666666666666668;7.87
9.833333333333334;7.89
10.0;7.96
10.166666666666666;7.98
10.333333333333332;8.07
10.500000000000002;8.15
10.666666666666668;8.13
10.833333333333334;8.21
11.0;8.29
11.166666666666666;8.46
11.333333333333332;8.66
11.500000000000002;9.1
11.666666666666668;9.79
11.833333333333334;10.42
12.0;11.36
12.166666666666666;12.41
12.333333333333332;13.58
12.500000000000002;14.82
12.666666666666668;15.67
12.833333333333334;17.18
13.0;18.81
13.166666666666666;19.76
13.333333333333332;20.36
13.500000000000002;21.08
13.666666666666668;21.68
13.833333333333334;21.5
14.0;21.51
14.166666666666666;20.75
14.333333333333332;20.5
14.500000000000002;19.9
14.666666666666668;18.78
14.833333333333334;17.64
15.0;17.0
15.166666666666666;16.45
15.333333333333332;15.82
15.500000000000002;15.52
15.666666666666668;15.22
15.833333333333334;14.87
16.0;14.7
16.166666666666668;14.62
16.333333333333332;14.69
16.5;14.41
16.666666666666664;14.56
16.833333333333332;14.44
17.0;14.67
17.166666666666668;14.76
17.333333333333332;14.71
17.5;14.21
17.666666666666664;14.07
17.833333333333332;13.94
18.0;14.37
18.166666666666668;14.75
18.333333333333332;15.11
18.5;15.58
18.666666666666664;16.1
18.833333333333332;16.63
19.0;18.17
19.166666666666668;19.45
19.333333333333332;20.87
19.5;22.22
19.666666666666664;23.53
19.833333333333332;24.3
20.0;26.06
20.166666666666668;26.95
20.333333333333332;27.7
20.5;28.45
20.666666666666664;29.1
20.833333333333332;29.71
21.0;29.57
21.166666666666668;30.3
21.333333333333332;30.66
21.5;30.67
21.666666666666664;30.66
21.833333333333332;30.7
22.0;30.5
22.166666666666668;30.39
22.333333333333332;29.83
22.5;29.33
22.666666666666664;28.46
22.833333333333332;27.45
23.0;26.52
23.166666666666668;25.18
23.333333333333332;23.23
23.5;21.57
23.666666666666664;19.88
23.833333333333332;18.14
