'Time (h)';'Power (W)'
0.0;8.14
0.16666666666666666;8.21
0.3333333333333333;7.86
0.5;7.98
0.6666666666666666;7.9
0.8333333333333334;7.51
1.0;7.55
1.1666666666666667;7.75
1.3333333333333333;7.69
1.5;7.92
1.6666666666666665;7.85
1.8333333333333335;7.67
2.0;7.7
2.166666666666667;7.79
2.3333333333333335;7.58
2.4999999999999996;7.72
2.6666666666666665;7.73
2.8333333333333335;7.56
3.0;7.75
3.166666666666667;7.45
3.3333333333333335;7.79
3.4999999999999996;7.64
3.6666666666666665;7.39
3.8333333333333335;7.67
4.0;7.68
4.166666666666666;7.43
4.333333333333334;7.68
4.5;7.65
4.666666666666667;7.53
4.833333333333333;7.61
5.0;7.47
5.166666666666666;7.58
5.333333333333334;7.52
5.5;7.55
5.666666666666667;7.59
5.833333333333333;7.69
6.0;7.33
6.166666666666666;7.68
6.333333333333334;7.5
6.5;7.49
6.666666666666667;7.71
6.833333333333333;7.49
7.0;7.3
7.166666666666666;7.51
7.333333333333334;7.66
7.5;7.45
7.666666666666667;7.43
7.833333333333333;7.41
8.0;7.48
8.166666666666666;7.43
8.333333333333332;7.6
8.500000000000002;7.56
8.666666666666668;7.51
8.833333333333334;7.45
9.0;7.72
9.166666666666666;7.43
9.333333333333332;7.4
9.500000000000002;7.83
9.666666666666668;7.65
9.833333333333334;7.77
10.0;7.73
10.166666666666666;7.99
10.333333333333332;7.79
10.500000000000002;7.87
10.666666666666668;7.81
10.833333333333334;7.85
11.0;7.72
11.166666666666666;7.77
11.333333333333332;7.93
11.500000000000002;7.73
11.666666666666668;7.97
11.833333333333334;7.84
12.0;8.1
12.166666666666666;8.0
12.333333333333332;8.3
12.500000000000002;8.29
12.666666666666668;8.37
12.833333333333334;8.32
13.0;8.26
13.166666666666666;8.34
13.333333333333332;8.32
13.500000000000002;8.34
13.666666666666668;8.5
13.833333333333334;8.6
14.0;8.51
14.166666666666666;8.5
14.333333333333332;8.51
14.500000000000002;8.4
14.666666666666668;8.24
14.833333333333334;8.06
15.0;8.14
15.166666666666666;8.17
15.333333333333332;8.13
15.500000000000002;8.17
15.666666666666668;8.0
15.833333333333334;8.08
16.0;8.19
16.166666666666668;8.13
16.333333333333332;8.07
16.5;8.11
16.666666666666664;8.15
16.833333333333332;8.06
17.0;8.23
17.166666666666668;8.08
17.333333333333332;8.2
17.5;8.19
17.666666666666664;7.87
17.833333333333332;8.23
18.0;8.14
18.166666666666668;8.22
18.333333333333332;8.11
18.5;8.53
18.666666666666664;8.52
18.833333333333332;8.18
19.0;8.15
19.166666666666668;7.98
19.333333333333332;8.27
19.5;8.4
19.666666666666664;8.36
19.833333333333332;8.32
20.0;8.79
20.166666666666668;8.55
20.333333333333332;8.66
20.5;8.56
20.666666666666664;8.75
20.833333333333332;9.01
21.0;8.88
21.166666666666668;8.72
21.333333333333332;8.91
21.5;8.75
21.666666666666664;8.87
21.833333333333332;8.81
22.0;8.71
22.166666666666668;8.84
22.333333333333332;8.82
22.5;8.64
22.666666666666664;8.61
22.833333333333332;8.7
23.0;8.67
23.166666666666668;8.6
23.333333333333332;8.35
23.5;8.39
23.666666666666664;8.39
23.833333333333332;8.16
