'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333
'fridge';'frg';32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514;32388.451293759514
'freezer';'frz';34879.870624048715;0.0;0.0;0.0;34879.870624048715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34879.870624048715;34879.870624048715;0.0;34879.870624048715
'electric_oven';'elo';17723.35979135481;17681.809968411682;16476.878965178574;17515.61166323455;16850.821041410676;17640.260945039765;17183.215966553384;17058.568648608212;17889.558096531946;17100.116912624355;17889.558096531946;17557.16177253097;17058.568157198293;17723.359791354807;17889.558096531946;18180.40613282845;16726.172869438724
'microwave_oven';'mwo';8086.270470697292;7873.107426099496;9152.318556964181;8086.270470697293;9152.318556964181;0.0;9152.318556964181;0.0;8406.015037593987;8939.155512366384;0.0;8939.155512366384;8832.434272100742;8299.52666060625;9152.318556964181;0.0;8086.270470697292
'electric_boiler';'bo';0.0;0.0;0.0;0.0;0.0;113594.87406098098;0.0;0.0;112152.41731865646;0.0;0.0;0.0;111671.59845165194;0.0;112713.37269641191;0.0;0.0
'iron';'ir';32257.46354396819;31937.022831050228;35138.6725585506;35778.81867727206;34177.86175405448;35728.68410128684;32577.168949771687;31937.022831050228;30336.657534246584;36419.095798985174;31617.080774681155;33217.4460714848;30976.803652968036;35778.81867727206;36098.99085326577;38020.26881951303;30336.657534246573
'vacuum_cleaner';'vc';2453.4539644724277;2601.548540798094;2542.3107102678277;2542.3107102678277;2453.4539644724277;2749.6922771490968;2660.8060353384953;2453.4539644724277;2749.6922771490968;2512.711459012829;2749.6922771490968;2660.8060353384953;2660.8060353384953;2690.4544466188304;2660.8060353384953;2660.8060353384953;2690.4544466188304
'washing_machine';'wm';37397.2602739726;37397.2602739726;37397.2602739726;37397.260273972606;37397.26027397259;37397.2602739726;37397.2602739726;37397.2602739726;37397.2602739726;37397.2602739726;37397.26027397259;37397.2602739726;37111.18446388293;37397.2602739726;37397.2602739726;37397.2602739726;37397.2602739726
'dish_washer';'dw';0.0;54849.31506849315;0.0;0.0;0.0;54849.31506849317;0.0;54849.31506849316;0.0;54849.315068493175;54849.31506849317;54849.31506849317;0.0;54849.315068493175;0.0;54849.31506849317;0.0
'tumble_drier';'td';0.0;29917.808219178085;0.0;0.0;0.0;0.0;0.0;29917.80821917808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'pc';'pc';0.0;33079.614769850814;33262.44441592249;0.0;0.0;0.0;32818.42958187842;0.0;0.0;0.0;0.0;33001.25920555577;32844.54812450182;33157.97034984224;32296.059345301364;32870.66661721481;0.0
'tv';'tv';16403.195422082375;16152.496662882902;16104.164956920027;16326.126043085544;16200.727045399695;16229.56521419339;16133.204511307287;16123.518073933366;16152.496662882902;16094.518455746997;16065.681985100011;16229.665278096307;16104.266282143715;16239.311350702086;16393.648592804904;16046.389829613903;16239.210869862625
'laptop';'lap';15043.048239687349;0.0;0.0;0.0;0.0;0.0;14890.40835048537;14798.824408468237;0.0;15302.536170039306;0.0;15104.104243111546;0.0;0.0;14661.448627619244;14966.728287904163;0.0
'hifi_stereo';'hs';0.0;0.0;13636.579556105911;13767.169131625014;13462.460480467278;13701.874330222385;13854.22877438753;14137.172987044985;13897.758602861963;13919.52369783405;0.0;0.0;0.0;14006.583323378103;13658.344565646772;0.0;0.0
'dvd_reader';'vr';0.0;0.0;17431.414115189662;17445.264864556913;17445.264846691556;17362.1604759459;17417.368863592583;17306.757562115465;17805.38386127405;17140.349897449167;17597.622872369586;17583.77214913301;17528.369221049878;0.0;17542.21995370877;17653.02581821909;17362.083526256938
