'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;2988.2197016150644;175.7776295067685;210.4163939533355;125.0780609949423;96.82309369887909
60;2389.913898413536;140.5831704949139;202.94690270390396;95.06784734662335;71.46367619922614
120;2236.0964437363773;131.53508492566925;191.71546768997632;82.48698433269989;54.97435696840163
180;1929.5013452090848;113.50007912994616;158.91225786604764;69.08245401847316;42.37203313855559
240;1583.8069441610596;93.16511436241527;136.66801115025095;47.795216659839376;32.01203755417984
300;755.6452306707813;44.44971945122243;70.01558352976548;40.74539619034876;25.400512128200734
360;864.1872515363634;50.83454420802138;93.37398302607177;46.364365736031;31.04942120093132
420;1454.8715859580684;85.5806815269452;113.15901467372147;57.88930705535688;42.45273465237294
480;2211.1694424251646;130.06879073089203;230.8259801182464;63.762656358185325;48.17757829176238
540;2573.464968265231;151.38029225089596;309.3679150937222;119.63098261180005;56.100603647592784
600;2667.214098753485;156.8949469854991;318.62453955264704;117.23288170958635;54.19628843298089
660;3198.006793381424;188.11804666949553;426.2662393256588;78.5741009089783;62.58770229692871
720;2323.4793769704625;136.67525746885073;253.98521763894522;72.56944154371072;56.0296641791831
780;3727.5051717986294;219.26501010580174;416.2058884107255;126.19232383019617;69.93394495738956
840;2717.9709468653596;159.88064393325644;270.4456194294511;115.46977991442385;75.81518299769299
900;2792.1007452963295;164.2412203115488;373.40195621337136;116.95874459676135;55.91536963634944
960;2395.4408259411885;140.90828387889343;235.67172776589305;123.40685734649101;68.89988545167631
1020;1712.7343016636926;100.74907656845251;157.48245529478316;70.01003852758853;53.514003920522946
1080;4107.702128948326;241.62953699696038;513.8704695141676;211.2068089673262;81.933343318583
1140;4676.913535420316;275.1125609070774;496.0181226903418;229.05723058025293;112.74622536280656
1200;5690.172461632395;334.7160271548468;667.3659930687043;308.82743018640934;135.06890564400538
1260;5761.344294252822;338.90260554428363;557.1828788846591;277.0027573178386;170.12474703093667
1320;5016.41308140741;295.08312243573;554.469885380555;170.64037611111982;138.1680496445612
1380;3102.341705811042;182.49068857712012;188.1754880254196;153.2872653623913;124.56694797852353
