'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;2437.636280152332;143.3903694207254;176.88149625355263;112.77747267622429;96.82309369887909
60;1882.0440473113417;110.7084733712554;151.73635321446136;84.6671751264419;71.46367619922614
120;1599.6519533398698;94.0971737258747;100.73732390213416;70.82211289938095;54.97435696840163
180;1175.0066497734445;69.11803822196732;106.47411608094627;58.13899207889771;42.37203313855559
240;1062.5845706718403;62.50497474540237;96.11905408257395;52.31164502033381;32.01203755417984
300;1189.3114483511135;69.95949696183021;111.66895631801559;40.74539619034876;25.400512128200734
360;1204.8173896687756;70.8716111569868;90.97785845774003;31.04942120093132;31.04942120093132
420;1430.4188728402078;84.14228663765928;102.5027997770659;42.45273465237294;42.45273465237294
480;1526.1592197434875;89.77407174961691;154.95987111756853;63.762656358185325;48.17757829176238
540;2518.4757468032003;148.14563216489412;371.884286323502;71.42950126438477;56.100603647592784
600;3057.793868351109;179.87022755006524;419.55250783112143;114.5717493470264;54.19628843298089
660;3377.13860437198;198.65521202188117;449.8192341567477;142.6811174373723;82.88762216566609
720;4248.190096701938;249.893535100114;454.6204492071609;224.24060248384882;90.73309622675569
780;2883.0937142269972;169.59374789570572;345.04237334249376;136.73182778465957;86.37694900494083
840;4145.426837435904;243.84863749622968;508.8360521035957;194.47012288138808;78.04585763377845
900;3274.0278416843435;192.5898730402555;383.57526349978247;149.26629402746556;72.34525187505233
960;4307.009161339576;253.3534800787986;518.2613485706844;198.34841043423458;70.3870279654951
1020;3462.8323565027235;203.69602097074844;428.8460516687133;177.8900594656534;109.6625630381672
1080;3951.404080267553;232.4355341333855;431.0233117702505;169.47478054700238;87.2276035905541
1140;4078.600658160859;239.91768577416818;516.9243506073348;179.93103670623358;109.7640004829728
1200;4019.900618470973;236.4647422629984;440.0015613501431;165.79573182836128;135.06890564400538
1260;3822.0898953217966;224.8288173718704;439.77617305978043;177.17542912628824;140.66469871489198
1320;3574.237002126275;210.24923541919264;370.4200954323662;135.7880188170189;119.57876822182627
1380;4445.953256814825;261.52666216557793;466.6642505150293;208.67346167355245;108.67338293512044
