'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;3631.8674511471086;213.63926183218285;393.9641934336204;157.39057893316615;98.31023621269789
60;1906.8422778608729;112.16719281534546;132.24467252655546;71.46367619922614;71.46367619922614
120;1597.5594234832195;93.97408373430703;115.43445578880336;54.97435696840163;54.97435696840163
180;1625.382588147409;95.61074047925935;102.75133496832012;58.13899207889771;42.37203313855559
240;1202.8937500061331;70.75845588271372;76.62514381112173;32.01203755417984;32.01203755417984
300;1030.4976523594244;60.61750896231908;70.01361838514258;25.400512128200734;25.400512128200734
360;1403.7657720018196;82.57445717657762;195.43298284476697;31.04942120093132;31.04942120093132
420;2317.371394048505;136.31596435579442;394.57852969935755;66.27643923843607;42.45273465237294
480;1620.872040844386;95.34541416731682;154.7224960264701;63.762656358185325;56.0996776480918
540;2562.9456291309666;150.7615075959392;385.68884515270975;71.42950126438477;56.100603647592784
600;2954.656855761135;173.80334445653736;452.5189550507456;98.81017086025174;69.95864309008452
660;2350.474384518679;138.26319908933405;241.81905998747962;107.20080855387059;78.5741009089783
720;2443.7218901978827;143.74834648222838;261.85100729277406;89.15110149078963;72.56944154371072
780;3108.6574341880714;182.86220201106303;434.55333112003905;114.54861668260601;62.46214631907119
840;3459.519957286382;203.5011739580225;387.4955413313227;121.14063582407196;73.58450836160753
900;3399.517192486193;199.97159955801135;457.03470227116327;100.53084412301591;55.91536963634944
960;2005.0202943142158;117.9423702537774;212.16338827391644;76.27832618046887;52.70956617335269
1020;2607.7724008922914;153.39837652307597;236.7361090116089;124.2202839418715;69.99874023415369
1080;3583.689937080161;210.80529041648006;316.2595922483667;212.28291893411728;70.93042754590324
1140;3649.908824298201;214.70051907636477;393.76876561370557;163.92779861822333;93.41337268316221
1200;4207.2090515757645;247.48288538680967;434.34821466089477;199.17491334388896;141.76098800809598
1260;4904.197354744326;288.48219733790154;432.4933740959906;246.3938970697588;192.93895454076753
1320;6090.834970098244;358.2844100057791;541.8912610137072;304.5695181039045;180.40190124428983
1380;5162.073636136372;303.6513903609631;543.0737960916534;291.6494039279706;118.82241480461825
