'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;3928.4283229767616;231.08401899863304;492.07150150543237;140.2891265212782;96.82309369887909
60;2260.782975799912;132.98723387058305;231.59284569574692;87.63232963713304;71.46367619922614
120;1832.387475216536;107.78749854214917;138.80287207537174;86.84886703147946;54.97435696840163
180;2165.844126040085;127.40259564941677;413.1528210647258;58.13899207889771;42.37203313855559
240;1901.9937866882688;111.88198745225111;402.79282548035;47.795216659839376;32.01203755417984
300;2021.0806889953824;118.88709935266955;396.19517069760826;51.32349277309433;25.400512128200734
360;1333.2938603005202;78.42905060591295;139.76792403444253;46.364365736031;31.04942120093132
420;1473.113149611986;86.653714683058;126.94085029025102;57.88930705535688;42.45273465237294
480;1382.9565123770249;81.35038308100147;120.57369063583523;63.762656358185325;48.17757829176238
540;2140.9789216261756;125.93993656624562;160.8740446815417;76.21314988364982;56.100603647592784
600;2898.162812551943;170.48016544423194;206.44609604890243;129.30622073405476;54.19628843298089
660;3755.108660329979;220.8887447252929;434.6847942141319;157.5583301193623;102.99483476803914
720;3911.7542602051253;230.10319177677206;473.2310758241635;128.1164498064823;56.0296641791831
780;1779.8229756358503;104.69546915505002;185.830129432887;96.89108860045499;53.65981370092738
840;2207.247640529717;129.83809650174805;341.9463668341926;73.58450836160753;57.65200557264427
900;2194.1374404492876;129.0669082617228;181.53924135770444;100.52886235805846;63.61741067722528
960;4490.324954546485;264.1367620321462;543.7206321696121;152.06958468742067;68.89988545167631
1020;2533.8270758408203;149.04865152004825;233.2436993126548;144.17540869417297;72.3554338987984
1080;4713.672449094302;277.27484994672363;458.8314220217721;228.4094006832338;87.2276035905541
1140;3414.7082850318266;200.86519323716627;316.5123114782428;170.03797308571254;109.7640004829728
1200;3600.194144377249;211.77612613983817;298.47111662661797;165.40811885698176;135.06890564400538
1260;5153.13813183316;303.1257724607741;508.1289347609463;234.22915387249563;151.8220914441834
1320;3450.9570390387844;202.99747288463436;262.81168008725547;180.01697508233914;160.1748956998175
1380;4450.506565656899;261.79450386217053;538.1211104530481;169.18044070023254;128.74998521146787
