'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;4302.533872102578;253.0902277707399;485.51674802297816;191.73601830765375;150.75351967481936
60;3048.7792128523843;179.33995369719906;329.93897754140204;115.33624374071589;77.12884535930459
120;2505.174849627383;147.3632264486696;265.9229895817315;102.84002016748114;59.03286169541529
180;1989.6452455766917;117.03795562215834;235.90102237508017;62.864490494677256;43.9441397662667
240;1768.5957882205225;104.03504636591309;210.4482912221861;53.20184332514057;34.26202839834916
300;1982.1490872652141;116.59700513324789;211.04451515355234;45.95310876175185;27.53924788717421
360;1566.3597667324243;92.13880980778967;172.98371269711782;51.947988883237166;33.570055441117574
420;2284.6520000508285;134.39129412063699;184.99202940856736;102.30869169464974;56.727568466428224
480;2128.3425192545747;125.19661877968086;252.10644735392827;62.46652119146621;34.266710616781495
540;2788.686575362644;164.04038678603789;454.6755327064973;94.9690851513054;38.86339104377798
600;3883.5226032562095;228.4425060738947;448.8945347018901;167.86696715839574;81.82620697078757
660;3314.5198619099206;194.9717565829365;417.2999982544292;148.1330099786283;96.99958225185969
720;3144.2955048425656;184.95855910838623;371.0550236798408;100.27879051977973;57.875080348353045
780;3413.2208918163956;200.7776995186115;403.8219272625168;135.691061045283;68.29698394886748
840;3513.99507830024;206.7055928411906;365.9117675399594;230.96490039157035;51.56057095057136
900;3587.442364578735;211.02602144580794;366.0910460921183;148.3425777517681;44.20329320602456
960;3625.0025581959335;213.2354445997608;395.25206496735694;166.8715327195013;65.40852920867826
1020;4129.501883997752;242.91187552927954;317.5141768977089;249.10482072498021;111.73360346446208
1080;4983.518102627872;293.1481236839925;512.051377558135;231.7407367793266;137.95201199909405
1140;3517.57182602998;206.9159897664694;285.11861470761175;224.97743679980482;119.31798490224624
1200;4976.723349120679;292.7484323012164;643.6001053644712;236.1381669229444;129.2607899736382
1260;4415.321646132623;259.7248027136837;380.24513578125595;253.8118535287809;151.96322092710113
1320;5003.66889210451;294.33346424144173;483.2174504633565;253.51724561195604;157.05575874439683
1380;5231.151368987082;307.7147864110048;461.0535795499972;300.9753688690142;147.24741827004172
