'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;3616.2541189590474;212.7208305270028;356.77103709958476;158.17179460401957;109.85710054480249
60;3221.5905829004755;189.50532840591032;375.45292552154643;111.64109983095453;86.42881223122632
120;3017.374969186493;177.49264524626432;367.79129698433684;102.84215992025177;68.69911845178558
180;2626.7856983980514;154.51680578812068;300.007030074964;107.47721348738831;52.49187800471858
240;2609.1413437574884;153.4789025739699;257.3363775621127;104.9701852121811;34.26202839834916
300;1713.5756685088231;100.79856873581312;194.7674879493681;76.26230641341527;27.53924788717421
360;1539.2058079264718;90.54151811332187;154.6057792549981;66.6904676227372;33.570055441117574
420;1461.217438390173;85.95396696412782;128.56699528051615;56.727568466428224;38.20368158284751
480;2948.352844121884;173.43252024246377;366.5547669517102;98.37172072858368;52.96880429648903
540;3711.017083666308;218.29512256860633;417.6035597391906;131.64241645387298;57.258068183928366
600;2955.827052237675;173.87217954339266;336.77517674911735;137.00472272299763;60.588538374768085
660;3030.282211558563;178.25189479756253;297.71534323555994;135.47965684004663;71.59132109077387
720;3395.3841345571545;199.72847850336203;466.75856186479353;88.74266025702885;57.875080348353045
780;3358.039419284648;197.53173054615576;455.3786270874932;111.89804931938043;48.76802644111287
840;4435.395627821837;260.9056251659904;473.4469165359113;230.96490039157035;147.1543490024068
900;3975.912644624032;233.87721438964894;436.34507196259324;182.67921282964582;140.8017566637057
960;3645.155983758702;214.42094022110012;429.4846235984428;207.43769219145958;81.43553840577553
1020;2638.9157258389187;155.23033681405403;216.91183245925106;116.37373037508866;51.90038803796087
1080;3702.2882668281363;217.78166275459625;418.4910139683259;185.7840421262114;80.05675764199827
1140;2963.3926927882185;174.31721722283638;272.0835805916382;179.19852414712793;87.05010057956741
1200;5775.271148460368;339.72183226237456;590.3886010917836;338.53859606735966;163.02889838486132
1260;4654.73662948757;273.8080370286806;412.09198441777505;258.56071197626943;151.96205176947916
1320;5453.047832661861;320.76751956834477;542.5705434841634;213.1800826826634;148.13150783153026
1380;4414.2614579849005;259.66243870499414;364.9754851664937;179.30031963659548;137.9853580207587
