'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;2150.426114174045;126.49565377494382;164.71504938832706;97.68898348086154;52.99974213909554
60;1529.8413539752426;89.99066788089662;120.0101969047672;91.11640437995652;42.96825762604758
120;1493.330394285609;87.84296436974171;119.31294085682023;73.00429183166317;28.391185574721305
180;1778.9969302674622;104.64687825102719;192.52212510779842;67.45035287585671;34.1198269964515
240;1074.2239115720186;63.18964185717756;117.3087493639969;57.73527036174446;19.81413004334388
300;1298.7864475709398;76.39920279829057;85.21297982428308;33.38085028561235;21.104943035893918
360;1476.774090559328;86.86906415054871;142.12251765333977;45.65574258882479;33.40378696074505
420;2072.3109861170883;121.90064624218167;168.87382093069866;60.34304564428546;47.993787721898336
480;1751.1533910685969;103.00902300403511;167.42997917554354;76.11999668366877;46.54994596674321
540;3289.1018371988516;193.47657865875598;280.9809778983233;135.7252266601659;70.96793434484113
600;4758.430773620948;279.9076925659381;583.4106527415339;149.8076237625345;67.18258113873429
660;3780.661843693229;222.39187315842523;441.50021136031535;161.9255400552974;67.20929739384924
720;3257.7425272852556;191.6319133697209;421.67107387376586;112.30916426122958;68.19035006331544
780;3249.0011886112197;191.11771697713058;423.22291583787654;119.38588244355851;58.82351762740854
840;3017.496720477378;177.49980708690458;315.328573562549;105.41268051315778;60.799187791448766
900;2878.542259083705;169.32601524021794;275.41102111411476;141.65903385961715;65.24836237574621
960;3092.955172079658;181.93853953409754;416.88446853620655;164.48092298146545;75.0584029386822
1020;3140.925047581275;184.7602969165456;319.60243730647005;117.80024218732302;104.61245313641841
1080;3020.769298259131;177.69231166230182;264.09334142966185;138.07636620577665;125.0386253700559
1140;3971.5964100166957;233.62331823627622;467.7313347254944;151.65475174897387;122.65598147986309
1200;5059.29614454876;297.6056555616918;557.024572605879;185.53424302863147;134.55877451520428
1260;5121.164923852614;301.244995520742;618.7574608311572;213.15514754551148;130.94667143156386
1320;4710.052239256686;277.0618964268639;487.42009323411145;163.20575794303744;126.83625755926347
1380;3063.7212568356554;180.2188974609209;267.0005301445225;131.0375813064273;88.62505820402141
