'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;3109.5223047649256;182.91307675087796;420.6800957881681;112.83003186976497;61.4895114743128
60;1719.2831307038969;101.13430180611158;127.7390848791311;86.74539905816931;42.96825762604758
120;1329.255846985513;78.19152041091253;120.57477156683174;41.06939031950474;28.391185574721305
180;1049.3885143151153;61.72873613618326;98.2248371082537;34.1198269964515;21.506259844177794
240;1155.105665950692;67.94739211474658;135.35907713966424;19.81413004334388;19.81413004334388
300;968.5263505429052;56.97213826722972;65.7180492928358;21.104943035893918;21.104943035893918
360;1367.0372983945854;80.41395872909325;109.75879050258253;45.65574258882479;33.40378696074505
420;2153.7144545995293;126.6890855646782;149.02444656077637;74.7042086018159;59.89061605708283
480;1786.958909482896;105.11522996958212;176.6724507146239;72.86001337270105;59.01800841988157
540;3534.1113387109594;207.88890227711525;489.29971670344116;122.80982636320977;58.70481625140755
600;3926.316770919815;230.95981005410678;487.4059808340144;149.7134589458132;54.572697413051365
660;2881.2971776506006;169.48806927356475;323.3911229326403;98.22326851484328;54.42017850420962
720;3801.8977408071128;223.641043576889;551.700594270975;91.27051526548038;51.09541467667981
780;2701.642603559108;158.92015315053575;305.9367179539622;103.43662388435044;58.82351762740854
840;2314.5777820974854;136.15163424102855;254.00060839012954;105.41229404839065;60.799187791448766
900;3505.029786571712;206.17822273951248;428.13317044202614;136.17153603864588;65.24836237574621
960;4091.116132046661;240.65389012039182;445.6395972464359;172.08133403696002;111.49243971518472
1020;4369.128980164043;257.00758706847313;503.7820929474478;214.2547394297388;104.61245313641841
1080;4616.034266176183;271.53142742212844;496.7714203951366;226.05787484603763;138.07636620577665
1140;4575.354501425542;269.13850008385543;421.02153116447954;231.45647820072926;143.47543106643602
1200;3894.511491198157;229.0889112469504;399.3258297607115;166.04410187857405;133.32725476524206
1260;4642.197238470836;273.07042579240215;513.5635821542847;179.62237822243236;117.9278525639137
1320;3601.4001828098944;211.84706957705262;435.46955033613966;150.24068630267752;107.8567283481892
1380;2670.2721743796865;157.07483378704038;251.92281256197705;125.9734729349919;96.14637655389379
