'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;107180.50250994167;214.36100501988332;272.88353799455285;159.7588181397435;101.41809688827784
60;77190.07665842389;154.38015331684778;177.20828193904833;106.48421281197183;76.17098682462904
120;58064.46160581696;116.12892321163393;130.14333656977115;79.81274274539604;59.4370565484226
180;46206.10182501411;92.41220365002823;110.80759190837483;66.97438614844116;46.70258179657267
240;35525.71124016047;71.05142248032094;99.33555299785905;52.834658897840576;36.30420295546595
300;30364.44985578525;60.7288997115705;87.99672760318659;42.47546660026394;29.654464577903525
360;37970.61228836065;75.9412245767213;99.41332773187074;54.99796300568668;35.307320031987096
420;51777.45210153005;103.5549042030601;125.38601608292633;66.6203156935696;46.77329403259025
480;79030.08451556611;158.0601690311322;249.07821034059336;77.22531677903062;52.49278186871488
540;89008.31483564369;178.01662967128738;299.8682393627476;114.35399812475839;60.44232784685207
600;97170.43124969062;194.34086249938125;333.2118984574207;122.68216868509175;58.57912077133398
660;100355.19637969008;200.71039275938017;352.25130120542474;130.6762114331461;67.04055941393239
720;94394.01777272715;188.7880355454543;312.6679812269221;119.04256203284851;60.700817259957375
780;90993.91508692739;181.98783017385477;274.4517653581664;121.4740261793719;58.438217916597345
840;94269.63281266601;188.539265625332;289.2221316046482;126.45810648311307;62.35505856935533
900;110007.13607444902;220.01427214889804;384.73763555423676;153.3882509823817;76.03553237719284
960;107491.29484968592;214.98258969937183;351.2935540731225;153.38406706159387;78.09530106439016
1020;100061.05934203652;200.12211868407303;291.82815005554266;137.7072847888689;75.6742718226645
1080;106003.58981870102;212.00717963740203;311.90967708637237;154.88435650992687;96.54363525846121
1140;114148.42574166674;228.29685148333348;320.46839642113474;173.9311619969025;112.89672371790617
1200;137067.1691246142;274.13433824922845;389.5198544452444;216.99664592079503;144.6945866371086
1260;151212.685738167;302.425371476334;440.6886337606673;225.55792271420123;151.3487229297729
1320;160771.07395853582;321.54214791707165;525.9703692795417;225.39071471870204;145.20052093078607
1380;137600.0586836249;275.2001173672498;446.71800480065104;185.74879877084598;124.41981291731359
