'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;105401.56993059159;210.80313986118318;280.6412007862425;159.75932775470898;101.41809688827784
60;79994.45173335171;159.98890346670342;197.05660134440956;116.2988407059076;76.17098682462904
120;58790.87365551997;117.58174731103995;140.25132149064348;79.81274274539604;59.4370565484226
180;41700.31317354445;83.40062634708889;105.0443265694638;66.97438614844116;46.70258179657267
240;35990.46615284833;71.98093230569665;97.20586865744036;36.30420295546595;36.30420295546595
300;31751.513133785513;63.50302626757102;87.99468045236594;38.40557276562335;29.654464577903525
360;33790.2051221314;67.58041024426281;80.03599102453698;38.22440727063166;35.307320031987096
420;44403.831369479216;88.80766273895843;108.43080373693437;66.6203156935696;46.77329403259025
480;58617.249436180486;117.23449887236097;130.87045406546326;72.53073938268723;52.49278186871488
540;84070.44056181438;168.14088112362876;232.17741701629166;97.60730700111054;60.44232784685207
600;94603.47341976005;189.2069468395201;323.82274366473405;120.75898974095878;58.57912077133398
660;109129.82908306396;218.2596581661279;382.1792321071136;139.89868413004643;72.09242416965333
720;110434.43587544587;220.86887175089174;362.84317853905975;155.21726195750446;81.9662453000643
780;110004.97595825617;220.00995191651234;381.8925340622652;151.1561214943788;75.94013232143017
840;108501.04539848457;217.00209079696913;375.45222879314883;133.40166343024495;71.0068249716625
900;111789.0741743861;223.5781483487722;408.4038360478951;145.78026640303915;75.31235257006679
960;116788.43867754165;233.5768773550833;423.53980882830336;158.29080623836657;78.09530106439016
1020;99786.19721119168;199.57239442238335;313.7234947023942;137.70677941186565;61.862459606188885
1080;109614.2575190094;219.22851503801883;340.7878208807932;157.74299271501258;96.0095540043039
1140;124711.18691338443;249.42237382676885;379.1348545178821;190.85611354138848;108.0353335249506
1200;131717.69079110966;263.43538158221935;371.8101053091874;203.03581750353982;137.67885533058333
1260;137532.23558251816;275.0644711650363;391.3200014695611;209.04146605215487;141.12114440937427
1320;142851.57412481096;285.7031482496219;443.50065115032;214.99875019679038;145.20052093078607
1380;131261.03450612223;262.52206901224446;394.62668059973777;187.26125663244213;126.8171859439892
