'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;101051.9380192736;202.10387603854718;252.53814169057296;159.75932775470898;101.41809688827784
60;73179.5669606874;146.3591339213748;161.0683242057881;115.70240972690709;76.17098682462904
120;57757.10765645825;115.51421531291649;134.26361089489436;79.81274274539604;59.4370565484226
180;44432.36163007801;88.86472326015603;108.67368402534883;66.97438614844116;46.70258179657267
240;35789.00853282056;71.57801706564112;94.64543382189713;48.089616592873156;36.30420295546595
300;33230.25531430682;66.46051062861365;87.99620935079466;42.29506459896359;29.654464577903525
360;37016.469226669324;74.03293845333864;94.07024596780573;50.41376908481482;35.307320031987096
420;48787.88862624466;97.57577725248932;117.47410397193181;66.6203156935696;46.77329403259025
480;74656.04144631315;149.31208289262628;225.9277941503796;81.85885419025409;52.49278186871488
540;96640.0449801829;193.28008996036579;335.7718233722584;116.00000327708064;60.44232784685207
600;103671.03090036263;207.34206180072528;370.4311909431754;118.37581986981968;58.57912077133398
660;105297.98928847046;210.59597857694092;351.2134517598709;131.146567113816;67.04055941393239
720;92672.60677079692;185.34521354159384;295.71190750839264;117.76239794718246;60.700817259957375
780;92046.74843695147;184.09349687390295;274.2220839888661;122.54322802839954;58.438217916597345
840;99683.8829783125;199.367765956625;306.8583393337159;126.4630953577445;62.35505856935533
900;104818.05931127071;209.63611862254143;356.3070363892424;140.01497995462123;60.55012439625181
960;103203.2198796988;206.40643975939759;330.33424008386083;136.43808674335938;61.99210093212256
1020;98994.68191168501;197.98936382337;317.5796652276845;141.5372695437257;65.2419835566693
1080;109741.74641144602;219.48349282289203;328.9869830561866;162.10778722412434;96.54363525846121
1140;117716.66748101723;235.43333496203445;322.30360147404616;166.977725183273;103.17347970341734
1200;139408.6633750667;278.8173267501334;421.4544816510945;224.33472054331546;141.7579298217962
1260;152140.34059965535;304.2806811993107;489.4103261220417;228.35102401833043;151.3487229297729
1320;151297.55734848257;302.59511469696514;484.18936761656437;221.30173507284334;145.20052093078607
1380;140215.20358678504;280.4304071735701;467.6876307823207;192.12244009696093;133.7827254141849
