'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;103548.5497792185;207.097099558437;266.5217502323592;159.7588181397435;101.41809688827784
60;70448.32267848146;140.89664535696292;161.0683242057881;98.05683998271408;76.17098682462904
120;55908.34601886182;111.81669203772364;125.83888319537728;79.81274274539604;59.4370565484226
180;44460.816742490206;88.92163348498042;110.80858949645629;66.97438614844116;46.70258179657267
240;37883.74490154852;75.76748980309704;97.20491027035541;56.5968618055996;36.30420295546595
300;33613.66441103941;67.22732882207882;93.75848815523186;49.383601229236696;29.654464577903525
360;35841.57456164;71.68314912328;95.73388497042997;43.72600107662589;35.307320031987096
420;45294.800698015446;90.58960139603089;110.87731760991855;65.2481798773391;46.77329403259025
480;57861.461361951966;115.72292272390393;145.0576675117922;72.53073938268723;52.49278186871488
540;84793.97555657588;169.58795111315177;267.00373328596015;100.57018172813058;60.44232784685207
600;96386.39504169805;192.7727900833961;343.1878754246504;121.61441941914298;58.57912077133398
660;110498.93648548459;220.99787297096918;383.9245336671095;145.93522173803325;76.36867422149923
720;112449.49487226865;224.89898974453732;372.89021411679096;148.28166504014158;81.9662453000643
780;106052.99799187495;212.1059959837499;358.8911712825727;144.95588193966873;58.438217916597345
840;97185.46896313925;194.37093792627851;294.1899985543826;126.46207509774945;62.35505856935533
900;102079.81088289229;204.15962176578458;347.67666718842963;130.380499190218;60.55012439625181
960;107472.98651976527;214.94597303953054;381.07741914047347;136.43602231585578;57.27917627797404
1020;96715.000190571;193.43000038114198;297.9114696459924;137.70677941186565;64.21590422317516
1080;108604.13736992367;217.20827473984735;328.2293923912518;154.66741621871662;96.54363525846121
1140;127420.67520583374;254.8413504116675;376.1372282755634;193.81851897436172;109.0075012908636
1200;137743.81109001776;275.4876221800355;394.597621524578;209.68205903670827;133.31866161929173
1260;147163.282828471;294.326565656942;439.2022271471559;210.2631322407215;147.927685940531
1320;158181.47719348836;316.3629543869767;500.31971666274313;232.8872344880392;145.20052093078607
1380;135043.97973195591;270.08795946391183;415.7317079056698;192.1234466656506;132.91037294370474
