'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;151476.8162880895;302.953632576179;502.2722912755075;204.1088496765383;120.84117716431358
60;126073.92902880348;252.14785805760695;452.86877435080794;145.02906117325588;72.67520085622152
120;108451.28784393873;216.90257568787746;411.74533532476977;122.72882244290616;64.3881011914405
180;91743.40867665055;183.4868173533011;346.5473373253299;87.06259821906747;49.1407981558872
240;85844.68563030468;171.68937126060936;342.2327661083623;63.76381750005289;39.41262687989248
300;82925.00579382009;165.85001158764018;319.3119587139889;68.10293730877085;32.64399082681755
360;74093.08855272265;148.1861771054453;261.3456991647655;84.74403463666069;38.67953403838453
420;72273.0182679776;144.5460365359552;219.6094494958683;101.729074090574;43.3883528391083
480;87311.49984145266;174.62299968290532;257.31744112083635;114.77817515876808;39.444954909124526
540;110755.05741956113;221.51011483912225;369.58141166692997;192.37822253996592;67.72375926308251
600;117384.835897757;234.769671795514;383.84904043550495;210.7832849210632;71.2521730632273
660;118286.97521628853;236.57395043257705;377.8045740595257;205.448470052001;82.41580058388102
720;120808.35036580949;241.61670073161898;355.8326268476606;202.84512031125163;85.19288450337027
780;128966.85847805036;257.93371695610074;400.7271944802399;214.8511538949085;79.61077115274422
840;137144.67232146955;274.2893446429391;451.73087849323537;186.82092338687823;71.37581268143639
900;144367.25641477312;288.73451282954625;461.6650737627932;232.9275396382731;70.71279377712001
960;137537.85873927653;275.0757174785531;423.30910234874256;223.03457958512413;92.05980567822675
1020;135136.75201982295;270.2735040396459;414.8899436158427;258.342394750678;82.9234595782172
1080;139970.40758404834;279.94081516809666;435.78975113663677;270.32369007095144;102.30766677384803
1140;136672.02212719683;273.3440442543937;401.920446819309;239.48028443142482;102.34342896383677
1200;153403.02957784594;306.80605915569186;457.6196710273245;294.83482334757434;123.32463934371269
1260;177360.5108034198;354.7210216068396;531.4152950687034;357.865446809194;150.41024123475592
1320;198185.91193144946;396.3718238628989;577.7810761252045;403.70980224230306;166.56799852643675
1380;183862.50013169972;367.72500026339947;556.6455342573063;287.47352514506974;156.86140599874545
