'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;148835.19582395325;297.6703916479065;502.271781660542;193.89523487653864;120.84117716431358
60;124739.90066642163;249.47980133284327;440.86652563559903;148.44819498538004;72.67520085622152
120;110391.85167649218;220.78370335298436;411.74533532476977;122.73036421672357;64.3881011914405
180;92290.24808356736;184.58049616713473;346.5473373253299;105.53634016786756;49.1407981558872
240;88467.49174465946;176.93498348931894;342.2327661083623;83.1674128919745;39.41262687989248
300;79382.24214999043;158.76448429998086;316.39484556272464;60.423260830100425;32.64399082681755
360;71450.48190726277;142.90096381452554;246.70968434349183;71.3399911860379;38.67953403838453
420;66870.37792489791;133.74075584979582;213.58345454105924;78.39339970284297;43.3883528391083
480;76820.48105609788;153.64096211219575;223.11435349309122;100.0594584305238;39.444954909124526
540;100650.23003700069;201.30046007400136;309.3170829762893;131.8287693748847;44.07346008288913
600;114418.22881636278;228.83645763272557;375.4540909192853;207.54602450468212;71.2521730632273
660;126186.3597110822;252.3727194221644;363.84556594705646;239.90136304193925;82.41580058388102
720;134812.1989855095;269.624397971019;412.9797669028793;250.00902803842072;88.99897769341052
780;143801.89101888292;287.6037820377658;437.11016930190107;262.583153669792;79.61077115274422
840;144343.72065834745;288.6874413166949;455.960932050427;233.43524414505998;71.37581268143639
900;158871.31261524296;317.74262523048594;487.3865856694593;305.42514666275474;70.71279377712001
960;146716.9983245235;293.433996649047;461.9851966186337;274.764946601834;76.44302794393482
1020;125211.78675069471;250.42357350138943;386.7680700238402;208.02966280277377;82.9234595782172
1080;138516.08219253327;277.03216438506655;422.4506989000388;269.5403273724761;91.23599564348677
1140;138011.2040159122;276.0224080318244;406.677317070353;265.4107269005086;110.2867221349546
1200;147452.1082094327;294.9042164188654;419.56735202023987;289.1136263847802;119.60802063119701
1260;174467.33389710108;348.93466779420214;520.492279314258;320.7594451548972;138.3529841823941
1320;188885.46871130005;377.7709374226001;549.4519387318708;333.08232753934334;161.34230301939388
1380;178287.1247156974;356.5742494313948;554.9657719002807;279.7611670100223;143.50115771261216
