'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;81431.11083670822;162.86222167341643;217.67555419761769;110.74222671841802;52.402010843955594
60;60824.95048832137;121.64990097664273;134.0767152129577;66.18051200124631;46.73410612636992
120;42109.3590181864;84.21871803637279;98.93209599334143;48.26189419631684;31.96134523873811
180;31715.32564448809;63.43065128897618;85.40980554484555;41.18814225208623;24.970698770591483
240;31134.377047225164;62.26875409445033;81.59012538965588;39.4819894444797;23.247862364372764
300;29284.173892724724;58.56834778544945;82.85089067462542;28.781838842315047;24.50810499565614
360;39169.98855573945;78.3399771114789;100.91315393934745;52.56262040454933;36.81010602558968
420;54439.89313451752;108.87978626903505;131.43386025473927;67.32785255485565;51.4502352260722
480;76082.28522878405;152.1645704575681;243.65342642746896;79.46228813270591;50.002108828305225
540;96666.86508116085;193.3337301623217;339.15826199507353;120.51791029359103;62.17819561081501
600;103603.30489642064;207.20660979284128;377.3102262350826;119.62524294189485;58.078963283733856
660;101531.88968780817;203.06377937561635;368.86375740822393;122.08648777514095;57.982464197812575
720;94339.90893649717;188.67981787299433;320.2485288775729;118.93538505505701;61.87420323581427
780;103146.82422831017;206.29364845662033;365.80034867041;133.3803286673483;62.646240999944546
840;103751.9347663637;207.5038695327274;312.93679267256925;143.07856749203106;80.94934734317981
900;114476.6652358365;228.95333047167298;363.4174353803393;145.31498191499819;85.85547362919112
960;114184.55335239033;228.36910670478065;355.53299952054516;153.70720672597454;94.03338426066757
1020;121571.92926034579;243.14385852069157;338.02722381782473;182.85931999539355;125.29450082992258
1080;138225.4362480411;276.45087249608224;389.083842211636;217.4117395806293;145.52919154010226
1140;138746.93719300997;277.49387438601997;408.5740164322109;209.71510271772803;143.1296596217588
1200;140922.61079613975;281.8452215922795;430.23653556181023;212.9637496402485;142.25931930968687
1260;153624.5177411384;307.24903548227684;504.47564099860807;232.42561849298312;138.59721167715165
1320;147546.67115077403;295.09334230154803;495.348058370126;208.0354383523935;126.12341674462887
1380;118902.86963321702;237.80573926643405;422.8884751313872;148.15203725486748;91.55275179020299
