'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;76483.00699746069;152.96601399492138;192.94289980814725;110.74172552673161;52.402010843955594
60;59436.42447615329;118.87284895230658;127.47173761946826;75.90497851281546;46.73410612636992
120;44179.34657000139;88.35869314000279;106.60261544778251;48.26189419631684;31.96134523873811
180;32921.3257307108;65.8426514614216;89.07472234791982;41.18814225208623;24.970698770591483
240;30759.596642896748;61.5191932857935;81.59012538965588;39.4819894444797;23.247862364372764
300;30612.91863190033;61.22583726380066;84.02717307944417;40.29141431672271;24.50810499565614
360;39956.11125799223;79.91222251598445;100.91511613739188;52.56262040454933;36.81010602558968
420;48738.94031957183;97.47788063914366;115.55624292595581;67.32785255485565;51.4502352260722
480;57021.741176037205;114.0434823520744;130.8114127966193;66.03247483948311;50.002108828305225
540;87682.08019281653;175.36416038563306;258.7636240826934;96.38128323856016;62.17819561081501
600;95927.88625606932;191.85577251213866;328.1047202964328;108.49475855878559;58.078963283733856
660;103616.60237567517;207.23320475135034;368.9337626456356;130.94792013782813;57.982464197812575
720;109098.08001646464;218.19616003292927;358.0671952066942;149.54857980274744;70.37919515391069
780;106615.56320825662;213.23112641651323;378.82552029221296;133.3470509392861;62.646240999944546
840;103106.9507729336;206.2139015458672;337.28251359320643;135.26066831125473;64.5616301888176
900;110522.91928555674;221.04583857111348;392.74414008613627;145.51468577030596;69.92850311490915
960;126120.8707577872;252.2417415155744;438.5434027591194;173.43033368382748;80.39772154200887
1020;131461.85139220126;262.9237027844025;396.0281831321402;194.85643607325952;116.99053845249527
1080;149007.78796419108;298.0155759283822;461.2989474684974;227.0754772218045;145.52919154010226
1140;142035.5938487514;284.0711876975028;391.23152008996027;219.29262294888446;143.3925079651939
1200;148928.2995778082;297.85659915561644;460.8337065714561;220.09599117469074;142.25931930968687
1260;141398.91964913654;282.79783929827306;425.36988864080644;214.72754883174318;138.59721167715165
1320;145452.10848936258;290.9042169787252;469.4134870129948;207.58843948774634;126.12341674462887
1380;116445.71671426822;232.89143342853643;398.8297445936127;152.13832786444576;92.76717651707519
