'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;1780.6955443321608;178.06955443321607;284.36675108899993;191.13636222177746;109.45935246972553
60;1372.755622457187;137.2755622457187;216.4171439126613;113.28137584391787;84.40878041908415
120;1084.2030862143881;108.4203086214388;115.32780840475125;79.33496811661276;67.24678081345942
180;893.9436416451042;89.39436416451042;82.43632577014215;54.281041948102605;54.281041948102605
240;792.6017562428084;79.26017562428083;139.77077848202362;43.81549240771664;43.81549240771664
300;857.9398431899451;85.79398431899452;96.01879386665081;64.50046004729059;37.09888136488339
360;794.4515168503578;79.44515168503578;124.43424354222115;70.10675822758414;42.758642986334735
420;917.6032787748247;91.76032787748247;136.01128270002246;81.89958081044185;54.33427294797053
480;2159.3238067638904;215.93238067638904;475.43659059290053;141.7199886842683;87.87488467556565
540;3122.9112014971415;312.2911201497142;891.3066720864229;159.5174002314413;95.26554538085138
600;1928.2354498318155;192.82354498318153;176.07603920169387;150.14424583271435;66.24907736345192
660;2495.9322092889165;249.59322092889164;717.543800888995;160.44642851500066;74.83305936868888
720;1770.7668648032413;177.07668648032413;426.866202731221;118.83062686132236;68.87533515131237
780;3642.4984212236677;364.2498421223668;546.8615077680306;399.29420890056997;107.09626425472466
840;4414.186956148559;441.4186956148559;532.135691560534;340.2668669019808;109.4159908357477
900;3119.8015502358016;311.98015502358015;502.8079963561689;199.03067949121424;85.49725042237702
960;3231.802957921739;323.1802957921739;465.9320929910088;308.6348308640887;131.23185329422782
1020;2492.777471314412;249.27774713144123;373.9359914684161;215.28318367970823;99.99583557919853
1080;1902.2177191794635;190.22177191794634;237.02876002307696;154.44902092812652;112.84669067729862
1140;2451.4222238883663;245.14222238883661;463.2251742638399;189.48385277274804;143.14859609375944
1200;2439.017961265473;243.90179612654728;293.24932035880386;213.91102018879315;145.05571998690615
1260;2684.275123783346;268.4275123783346;357.4943424150425;238.78508965633773;193.34246262935818
1320;2199.281210211526;219.92812102115258;341.179248944947;214.40431903337222;169.48070581025058
1380;2753.6922799747617;275.3692279974762;507.90120350650085;203.20669299066188;170.5356037054604
