'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;2301.4738777557136;230.14738777557136;261.83469281641015;191.13636222177746;109.45935246972553
60;1584.5657900019742;158.45657900019742;234.58657240489043;141.0585315222344;84.40878041908415
120;1063.4715862028465;106.34715862028466;148.92379056551138;95.5463449759225;67.24678081345942
180;1274.2491360009176;127.42491360009176;175.16477530178673;82.43632577014215;60.69125024234168
240;1229.6536394196403;122.96536394196403;144.8333235854927;107.91757535010733;71.99974081068005
300;765.2337995262113;76.52337995262113;121.28040734636349;64.50046004729059;47.200664482661
360;773.1293429630044;77.31293429630044;103.65562178160592;70.10675822758414;42.758642986334735
420;1177.2000297744642;117.72000297744641;336.4289665815422;54.33427294797053;54.33427294797053
480;1928.0308526527992;192.80308526527992;252.63149578398264;110.03351619970161;60.04438812838178
540;2589.622292610007;258.96222926100074;500.22135235794576;126.6887470220399;95.41337665411304
600;3302.244940076391;330.22449400763907;595.35096554512;410.1174067718203;116.23820543477176
660;2742.2763781471435;274.22763781471434;438.8405801852348;321.77907230508146;103.38019974734877
720;1846.326816111417;184.6326816111417;353.4598300570769;141.55589237962343;68.87533515131237
780;1514.1543593666552;151.41543593666552;286.8015215217316;145.08368220741363;66.80042529401979
840;2114.1246404076533;211.41246404076531;479.4037668484633;153.35434560725804;70.58540131359969
900;2136.579965799435;213.65799657994347;264.29376711150024;118.65007329740087;68.660945226081
960;2575.727983378795;257.57279833787953;529.5692069080296;211.8415256556938;65.27599396106139
1020;2428.8225189273435;242.88225189273436;587.5586128942468;175.94711444287836;66.32322518660646
1080;1922.5966517455222;192.25966517455223;256.05843889202487;182.34932157523383;83.74459059756495
1140;2040.1770412563924;204.01770412563923;281.86603420874957;179.2737402771271;106.88403418429945
1200;2912.0383855415553;291.20383855415554;537.0426936683783;278.01336643418995;146.3759739688154
1260;3539.0990152641875;353.90990152641876;551.5604048768074;353.070096013071;203.13042387301778
1320;4137.086783261087;413.70867832610867;609.2309590513948;354.51347738672035;248.56164172322724
1380;3678.507601717567;367.8507601717567;561.196847109619;318.55874783350947;149.91033592659232
