'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;3031.187650572916;303.1187650572916;541.0471924724756;194.5262020105547;140.06331124845798
60;1931.213310700592;193.1213310700592;308.10128211141216;148.86710972217418;82.56055316956765
120;2117.1044150593534;211.71044150593534;292.1413643979605;107.71924730444029;73.75977030948462
180;1691.721621158624;169.1721621158624;193.4572416492157;92.02129092417054;58.234950337723156
240;1370.3192521564997;137.03192521564998;178.59913478793527;112.53421101098247;48.426174222593296
300;911.348859145091;91.1348859145091;136.42832616663617;105.68532775958259;41.57729097119339
360;875.8094948595793;87.58094948595793;144.54486757298454;86.08594365663517;47.62112158360167
420;836.2209823429273;83.62209823429274;134.0322921836708;85.5398969725302;52.461527537564656
480;2380.060552478126;238.00605524781258;506.3382077219297;132.69288495781808;82.97191173901015
540;1275.2240310651575;127.52240310651575;214.72897225336462;113.12029547652944;86.03871865160224
600;1059.6309522600832;105.96309522600832;140.08246888008387;108.27120556197119;56.137059502808945
660;2046.5065577749997;204.65065577749996;243.2392941502053;151.34776776813845;73.14635196841566
720;2502.954037281538;250.29540372815381;586.9869517889447;154.96689526696014;108.73226558175313
780;2794.0922620836304;279.40922620836307;504.2053511457361;210.94491348235513;146.2137701048757
840;2002.823303281006;200.2823303281006;253.04447433565556;176.62233072140992;138.34837145598993
900;1501.840396780334;150.1840396780334;194.26475728800926;125.8012479351921;90.30370811613676
960;2165.172913664465;216.5172913664465;364.49878016094476;223.35094422731717;122.33703237309369
1020;2187.2595945620865;218.72595945620864;305.0042788429183;221.57945020589307;102.59588851504121
1080;1908.7495942187272;190.87495942187272;278.43561794125924;226.0694957450211;101.80143134191226
1140;3297.7757227761876;329.7775722776188;502.3677441095478;265.9282930588081;237.83651520894762
1200;2922.6334191713695;292.2633419171369;381.6270772338811;292.27879907820085;219.45391775997552
1260;4606.814476947177;460.68144769471775;696.0155646954088;605.8668994103543;301.49882155468816
1320;4530.512866750823;453.05128667508234;671.2989723579094;510.0958197175218;238.239316701281
1380;4097.8040793738455;409.78040793738455;694.5980079956544;238.94736394863796;168.0489751378431
