'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;2069.9401228647266;206.99401228647267;498.50505112441874;139.7532587111463;58.835015309113764
60;2748.592231833323;274.8592231833323;794.4979731494827;135.00350923733032;53.32434100193399
120;2436.978964569069;243.6978964569069;779.3827567983159;124.95378609254011;38.209124650767535
180;2197.783320367051;219.7783320367051;772.2070990393638;104.84170203888885;31.03346689181542
240;1705.8324190476424;170.58324190476424;399.84370999994763;51.804292648544035;29.256893926173316
300;1053.1356878909635;105.31356878909635;245.2384278988883;52.38490137116582;30.463638425240045
360;591.3801012028575;59.138010120285756;71.35787016755438;64.6496565820673;42.77116438906779
420;808.4362590575676;80.84362590575675;124.32560892743984;79.55126464835347;57.499018358376446
480;1272.5958449408806;127.25958449408806;157.22247527776912;106.5523094249268;56.043393836038774
540;2330.575551217495;233.05755512174952;449.787473397225;204.142619282373;146.78289925670524
600;2346.775792713769;234.6775792713769;382.1952571695118;222.10684853257385;133.42905977588526
660;2220.761703597474;222.0761703597474;396.08340915455136;168.7311862165976;143.17090692193466
720;1314.614800743671;131.4614800743671;198.9897382194519;140.6731108241234;61.371951454383236
780;1921.2782295586721;192.1278229558672;453.93654441144344;170.35383807965857;69.3360069018825
840;2175.413480497383;217.54134804973827;360.2119668535236;229.59179812235146;93.90662265416057
900;2886.8993180730536;288.68993180730536;514.7874295306398;312.1017932590031;98.91608318853562
960;4446.002283426954;444.6002283426954;756.0699904900542;388.8923670866574;226.61580693029103
1020;2522.758820529084;252.2758820529084;420.49924190823265;214.50957066385484;180.4036181966514
1080;1928.7883421347271;192.87883421347271;254.25990913350748;168.28709565784015;135.28995581138534
1140;3052.2791129470043;305.22791129470045;564.0375676285485;285.8128410524156;204.1406674946048
1200;2577.748430298585;257.7748430298585;422.3550017885752;227.07183435164802;161.75394991665712
1260;2049.2324828768938;204.92324828768938;272.8712716267107;199.44782757989012;128.7377662718407
1320;3065.125762312421;306.5125762312421;519.0992550135995;207.99236446563432;127.03540318977574
1380;2283.412043137094;228.3412043137094;410.60839083445006;177.40179256657945;106.6991854079405
