'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;835.4973221964093;83.54973221964093;122.93806322287152;81.62698527674978;58.835015309113764
60;903.2285515097517;90.32285515097517;134.99994155782045;81.9115441264853;53.32434100193399
120;808.8999635367876;80.88999635367875;119.88684786377118;73.56536556298916;38.209124650767535
180;681.4866378355127;68.14866378355127;132.0512980695915;53.557693949447;31.03346689181542
240;519.4981288845854;51.94981288845854;110.93461713917696;44.40956860283973;29.256893926173316
300;532.2319082903622;53.22319082903622;82.19286312680903;52.38490137116582;30.463638425240045
360;872.434245224403;87.24342452244029;64.6496565820673;42.77116438906779;42.77116438906779
420;691.5638757276295;69.15638757276295;88.85732831051375;57.499018358376446;57.499018358376446
480;1073.7043150834322;107.37043150834322;159.9876910243428;62.84981131537643;56.043393836038774
540;2155.8882352441;215.58882352441;397.1704383210851;138.98031972588217;68.256609489778
600;2712.932919697335;271.2932919697335;446.83183928014904;187.75040924535233;84.51453602358217
660;3040.394049158408;304.0394049158408;553.1404911474301;148.83985997117452;87.05417646454568
720;2513.8370390145583;251.38370390145582;213.77688986534355;172.17131328526838;69.53979572258798
780;2981.355299563032;298.13552995630323;533.6313603066509;295.14223942710544;92.58476583968557
840;2963.3127711728102;296.33127711728105;625.4204405056507;261.639572539725;133.60347188609973
900;2883.2092877556097;288.32092877556096;549.6605285451867;272.659123739389;183.45492167103026
960;3260.3332831913785;326.03332831913787;536.2849504053416;288.3145539511691;178.95063401736093
1020;4526.184583247958;452.61845832479577;1114.9144008438805;228.95396833240727;146.65896060707766
1080;4012.6287275719574;401.26287275719574;917.8691751504781;216.96696556343724;158.57163587517218
1140;3928.9697646739996;392.89697646739995;820.3809920438279;259.22750017487016;156.79055039478794
1200;3029.3641524667873;302.93641524667873;453.28159749880973;280.93100035892525;197.25403943888608
1260;2627.63816675171;262.763816675171;539.8800523109745;210.4133668277272;168.80572179967882
1320;2709.5510252744043;270.95510252744043;472.6707827176014;197.8204479809426;140.17995536821235
1380;1750.4133252152676;175.04133252152675;267.01651671435116;148.09714040255102;106.6991854079405
