'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;4419.978055857894;259.9987091681114;524.5062252354762;165.0226473643416;121.81841140412693
60;3054.8008012044206;179.69416477673062;230.1920991717257;113.28137584391787;84.40878041908415
120;2640.600513168006;155.32944195105915;187.38729295474332;95.5463449759225;67.24678081345942
180;1658.1824603850332;97.54014472853136;164.1162257206991;82.43632577014215;54.281041948102605
240;1498.592472509792;88.15249838292894;136.10675733907425;43.81549240771664;43.81549240771664
300;1028.626190823024;60.50742298958965;69.08209745768852;37.09888136488339;37.09888136488339
360;1669.2139873998128;98.18905808234193;221.3132013236045;42.758642986334735;42.758642986334735
420;1904.3459605600797;112.02035062118115;207.83234540086406;81.89958081044185;54.33427294797053
480;3609.616528353904;212.3303840208179;503.2418354519225;87.87488467556565;60.04438812838178
540;5179.444198844528;304.6731881673252;656.182869631198;154.061778480597;68.04034519555586
600;6547.49330349255;385.14666491132647;807.8290547040637;220.0616628371094;66.24907736345192
660;4649.05982622982;273.47410742528353;587.740513988223;124.82218744000873;74.83305936868888
720;4506.825472928034;265.1073807604726;558.332531171697;118.86446322263222;68.87533515131237
780;3457.987429101939;203.41102524129053;406.2813743968226;139.3317940058881;95.86137396627367
840;4049.5894921636914;238.2111465978642;385.56220349951224;195.31454111123261;134.69140901348328
900;3140.4081698496757;184.72989234409857;274.2320882456478;134.86182179170424;68.660945226081
960;2426.4004753403533;142.72943972590315;196.03697189598165;114.2817752956098;65.27599396106139
1020;3497.4073167253127;205.7298421603125;428.50057335977885;177.43726407014185;79.3879074522657
1080;4299.666840893744;252.9215788761026;488.43904333208906;159.30477163116603;109.93487019974172
1140;4986.105492877594;293.3003231104467;584.8004212100788;221.7218135642562;136.08158382681847
1200;5498.612607312872;323.4478004301689;486.0115616500401;262.6656350161181;144.48626942735348
1260;5171.95034391568;304.2323731715106;350.4022411091528;231.38664214087026;193.34246262935818
1320;5273.432085000698;310.2018873529822;568.1434553947113;214.40431903337222;186.1752902971528
1380;4710.081935363856;277.06364325669745;405.6046704479321;211.75620440978886;166.45132514128687
