'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;4540.884699401987;267.1108646707051;508.1713940538271;191.1377951517731;109.45935246972553
60;3174.877875432133;186.7575220842431;241.0654545335862;138.00070842193827;84.40878041908415
120;2395.3883705089956;140.90519826523504;151.2820378398591;95.5463449759225;67.24678081345942
180;2089.365037008316;122.90382570637153;135.95948463015023;82.43632577014215;54.281041948102605
240;1570.1981240589541;92.36459553287966;71.99974081068005;65.97820383610433;43.81549240771664
300;1147.3495647263778;67.49115086625751;138.1361764793026;39.821355181841184;37.09888136488339
360;1261.0675129670037;74.18044193923551;143.77647416411085;42.758642986334735;42.758642986334735
420;1304.2686988829291;76.72168816958407;89.69051386019217;54.33427294797053;54.33427294797053
480;2559.2678955337533;150.5451703255149;421.24474768926433;60.04438812838178;60.04438812838178
540;4923.362287150688;289.60954630298164;530.7496298226487;236.74183428197657;68.04034519555586
600;5248.672229178803;308.74542524581193;590.9781305625494;216.07211380144133;94.3961392511369
660;4351.84951969679;255.9911482174582;575.923488234927;138.9390670685725;83.13681271645981
720;4664.647107001057;274.3910062941798;519.3088565645929;184.12336574285845;98.4106518736831
780;3276.402024651576;192.72953086185743;355.04881031827273;142.7388534775012;66.80042529401979
840;5042.434656552742;296.6138033266319;564.9199361972279;217.6185234404707;99.03629915103404
900;4038.718696893106;237.57168805253565;452.96798669411953;162.10703718073034;98.00002065233615
960;3932.2598894464086;231.30940526155345;493.01915228210856;186.163510843176;65.27599396106139
1020;3060.559225551105;180.03289562065325;296.0337704730228;148.00023493865834;95.76025431808989
1080;4137.963572741523;243.40962192597198;358.7123929626275;235.7630170735015;112.84669067729862
1140;3553.4348886722514;209.02558168660303;243.7006180126423;136.08158382681847;106.88403418429945
1200;4783.336808510205;281.37275344177675;496.43435412021387;213.91102018879315;147.20896722026296
1260;6137.364102412328;361.0214177889605;613.6117415486873;260.3033331113728;139.02441617313426
1320;5909.561069978895;347.62123941052323;647.7487313408132;243.3501228428822;190.2144856041131
1380;5500.441790172634;323.5553994219196;609.0910175319285;254.4891983915729;121.5289697776583
