'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;6435.981608665867;378.58715345093333;600.1855255605825;221.74321119901492;140.06331124845798
60;5226.131815305413;307.4195185473772;576.7503906552753;186.63312596861232;82.56055316956765
120;4776.352215593467;280.96189503490984;526.725881642735;189.39914725499725;73.75977030948462
180;3510.0476718442733;206.47339246142784;432.686963063714;130.1385775677638;58.234950337723156
240;3174.7443059917878;186.74966505834047;423.91284097913353;111.46276749919876;48.426174222593296
300;3063.9280473258245;180.23106160740144;366.6009973050507;105.68230108299561;41.57729097119339
360;2687.723752348807;158.10139719698864;285.91020284217893;101.65074387950548;47.62112158360167
420;2384.0576708575695;140.23868652103351;247.45412528531003;85.5398969725302;52.461527537564656
480;3058.519763405427;179.91292725914278;488.72841875024733;81.90347827734543;48.5068824207248
540;3890.7742718430572;228.86907481429748;446.86799496749705;123.89368805997265;55.97848623041258
600;4453.277625171025;261.95750736300147;513.9683848040138;176.8324675954773;95.48834442618869
660;4600.876878898807;270.6398164058122;515.9874458495502;207.78835708544008;117.09119931374651
720;5090.5535991609795;299.44432936241054;484.7142426880225;286.94987699795786;108.73226558175313
780;5346.633938096379;314.5078787115517;690.7566700937249;214.35979679081316;64.53676035282375
840;6458.71770863139;379.92457109596415;639.5706061396492;390.0405112566851;166.77315874160178
900;6684.741760317716;393.22010354810095;583.0771346337322;429.35659462337196;95.39077528180835
960;5724.046278489447;336.7086046170263;636.28880109133;156.52417707196128;95.75340073063381
1020;4621.470594633608;271.85121144903576;422.87643335535313;254.3542031544177;99.32445740720287
1080;4338.236960583683;255.190409446099;430.7902997719696;158.47975528862585;85.95063146970577
1140;4785.957254337009;281.5268973139417;520.4537109594097;180.22994929106267;118.6312005921821
1200;5018.531359396247;295.2077270233087;427.26371134776264;293.441387650476;186.33248044836893
1260;6647.2440115239115;391.0143536190536;579.9617742637967;411.9126662314072;205.24011829867516
1320;7285.488743149235;428.5581613617197;623.8756499615642;322.7394935567393;210.6381216934708
1380;7693.516175513661;452.5597750302154;610.6587439570504;462.4370864837219;158.89764734446646
