'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;5713.667655281879;336.0980973695223;652.1447134895338;188.9723741467875;128.52861570573012
60;4206.714814607997;247.45381262399982;277.9128931472757;152.45007982822696;103.94411951450624
120;3835.6127409755563;225.62427888091509;254.1866655845103;133.31025186348452;85.76698407054663
180;2327.7189996811376;136.92464704006693;240.43010942092565;116.39768356780645;72.2528188788736
240;2135.72388623504;125.6308168373553;217.42933450529117;108.97751614003252;61.62797882305398
300;1842.3150583762676;108.37147402213338;205.36335971679642;96.84354702188999;54.75278403114996
360;1666.757144190521;98.04453789356006;161.44675431299234;97.4687945670675;60.42892313521625
420;2618.92553972933;154.05444351349;270.77546402960456;80.68274697402038;72.26459437587239
480;3862.2918701189014;227.19363941875892;563.8412434942733;124.70771717200363;77.95248297273478
540;4569.982511501336;268.8225006765492;512.3775998954525;239.48315815672856;121.26783109505725
600;5894.234938911352;346.7197022889031;661.8708513178511;304.35622376780884;131.7248955389281
660;3709.028612529543;218.17815367820842;313.2308086044459;192.5798531264485;141.27161224040293
720;4819.449270824476;283.49701593085155;582.4212331296214;184.2216688988985;88.26062043652564
780;5498.034690047167;323.4138052968922;506.6010771787837;196.18929162362883;86.63080278905014
840;4857.629592162645;285.74291718603797;448.09393882985927;160.80210937238766;90.10307124995057
900;4406.4798445192755;259.204696736428;315.8544328361915;148.9613600180486;87.89517747967594
960;5671.062437216581;333.5919080715636;646.2337078808331;176.92030550486118;84.23987589523998
1020;4720.906434300239;277.7003784882494;370.91121169544516;196.88279322254596;85.65350455178708
1080;6143.909129419606;361.4064193776239;603.1558731847415;223.96420059796978;104.150761028101
1140;6875.400005839921;404.4352944611718;640.4932714140969;333.214787528412;191.3184946949902
1200;8283.915715241621;487.28915972009537;977.1578342030813;357.7617586800009;152.72289997335656
1260;7846.076305131407;461.5339003018475;848.7544828110617;311.8374895710289;159.41584430399652
1320;9226.411217250608;542.730071602977;715.6193644546308;535.88216711383;165.55332337973945
1380;7044.045396935915;414.3556115844656;609.6017089931792;321.04567477743296;236.61871672965583
