'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;4199.632424525737;247.03720144269045;366.0588778205537;229.53417999447433;128.52861570573012
60;3497.5302167566883;205.73707157392283;308.2541236409646;105.62754558598532;103.94411951450624
120;2727.548036330359;160.44400213707993;303.88147731352774;85.76698407054663;85.76698407054663
180;2068.3272505976684;121.66630885868638;228.05822366334274;72.2528188788736;72.2528188788736
240;1618.4203262812712;95.20119566360418;152.51210297102563;61.62797882305398;61.62797882305398
300;1827.4677342481218;107.4981020145954;200.12787254433175;100.78743621759403;54.75278403114996
360;2742.678102244834;161.334006014402;276.06842716198764;106.37375674051522;60.42892313521625
420;4390.143255113773;258.2437208890455;586.0568176380182;118.57431158482413;72.26459437587239
480;4912.929207041818;288.9958357083422;487.09991574447565;142.05749308453696;77.95248297273478
540;5439.546226678869;319.9733074516982;717.7912683886883;111.31140811258014;86.05850062248201
600;6398.680533945521;376.3929725850307;738.2056812701283;131.7248955389281;84.43783156761722
660;6019.198813401989;354.07051843541115;582.4575337662444;215.6648397964532;93.31241640425425
720;7082.6360378578;416.62564928575296;855.4877756326528;209.1462349563062;88.26062043652564
780;5927.751416499237;348.6912597940728;784.5911789438343;189.98367104721956;86.63080278905014
840;5202.005009056274;306.000294650369;648.4217692946763;170.14902814229703;90.10307124995057
900;5160.979501235036;303.5870294844139;641.1768278221921;186.2109454439007;89.65564400330469
960;7197.608266193958;423.38872154082105;896.7298254834338;249.65977349376874;148.3499882841921
1020;5211.469748190053;306.5570440111796;404.4386316405337;199.21173707000756;99.47125321170367
1080;4666.008227548245;274.4710722087203;530.1605137285721;159.7129268433441;103.08232756643628
1140;3893.629221034911;229.03701300205358;383.65084315949014;196.24495382716353;145.34504699815926
1200;6955.236634309299;409.13156672407644;525.4982208664641;308.52967719037173;201.95498146298578
1260;6464.247034814932;380.24982557734893;566.2272826375929;353.96824581549566;205.1633743218086
1320;7624.395630803098;448.4938606354764;677.3207326780914;421.105472237655;216.67466317381346
1380;6364.712566031511;374.39485682538304;667.8727543627319;296.735996229776;188.60991414296998
