'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;4650.747941710578;273.5734083359163;405.80209317726013;241.20247586651809;128.52861570573012
60;5267.939942630995;309.8788201547644;315.3018716749593;152.45007982822696;103.94411951450624
120;5423.975053838312;319.057356108136;424.18838002618935;156.87718850993184;85.76698407054663
180;4196.462445672196;246.85073209836446;321.29603716866717;119.55369569989996;72.2528188788736
240;1875.9385359455569;110.34932564385629;162.627608589807;108.97751614003252;61.62797882305398
300;1733.9776205167434;101.99868355980844;210.55547819000847;96.29945822970949;54.75278403114996
360;2302.0480205718904;135.4145894454053;216.23848018375767;106.37375674051522;60.42892313521625
420;3800.226107085973;223.54271218152783;228.07415142441386;119.64274504648887;72.26459437587239
480;3885.9219134393775;228.5836419670222;255.06030021435296;124.70771717200363;77.95248297273478
540;5394.047057631918;317.29688574305396;459.0296068732014;154.12738525367996;86.05850062248201
600;5016.905656505949;295.11209744152643;663.6313178414797;205.3322014750011;84.43783156761722
660;7329.2971814082475;431.1351283181322;874.5114092076519;291.06884644921087;141.27161224040293
720;4766.899850283958;280.4058735461152;450.4777380005351;212.9049442641009;110.41666570156434
780;3856.60521614882;226.8591303616953;420.0006658027489;150.73385070280793;114.91257492127474
840;3527.3389661558554;207.49052742093266;327.1507309069321;172.15204273343946;90.10307124995057
900;5539.317651440059;325.8422147905917;676.0713570433545;223.70248821885602;137.18482419578464
960;6013.930468416802;353.76061578922366;658.0507626158292;179.92937361213492;115.14665323817582
1020;4566.069843432801;268.5923437313412;498.1340314035975;241.45754836452485;135.1077134926793
1080;4323.027623489184;254.29574255818733;428.6654163952412;223.96420059796978;103.08232756643628
1140;5768.55384239185;339.3266966112853;558.8812811172593;377.7327734692925;127.21248699510659
1200;6642.412172482423;390.7301277930837;535.3398106960773;349.1237272272923;213.45899503854886
1260;6415.80664007399;377.40039059258766;443.07007454887804;280.29957765768063;159.41584430399652
1320;8917.092280409375;524.534840024081;881.2396013076543;273.4533864156955;186.87578766594217
1380;6376.977664661756;375.1163332153974;521.1899881165734;296.7332628254986;188.60991414296998
