'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;5289.051972075868;311.12070423975695;348.44240945113944;223.4035647585881;128.52861570573012
60;5967.756078918203;351.0444752304825;875.7392984371644;192.06057660987418;103.94411951450624
120;5082.97610887994;298.99859463999644;649.1644574062263;133.31025186348452;85.76698407054663
180;3830.5722841497723;225.32778142057484;396.82717317143005;119.55369569989996;72.2528188788736
240;3118.7929705075358;183.45841002985503;243.78414687599994;108.97751614003252;61.62797882305398
300;2082.4733134909984;122.49843020535285;235.59406695356128;100.78743621759403;54.75278403114996
360;3112.7965472777637;183.10567925163315;265.8226016082756;138.33094504158512;60.42892313521625
420;3092.239616423424;181.8964480249073;287.9050294848531;118.57431158482413;72.26459437587239
480;3834.218441217232;225.54226124807246;335.00051787576314;124.70771717200363;77.95248297273478
540;4457.334931131986;262.1961724195286;453.1773294999855;178.85865290686382;86.05850062248201
600;3083.4166329875684;181.37744899926872;273.6879828577091;131.7248955389281;84.43783156761722
660;2191.549898685556;128.91469992267977;211.97789226175144;93.31241640425425;93.31241640425425
720;3161.7620207610444;185.9860012212379;311.5046363632498;137.87995253010854;88.26062043652564
780;3810.9569384764172;224.17393755743632;420.00066580274876;196.78323326935185;86.63080278905014
840;4494.751126659285;264.397125097605;581.2732313423754;141.80051020170754;90.10307124995057
900;4593.008608180278;270.17697695178106;524.7392386301559;233.31228503823115;137.23355566142448
960;7063.54338925688;415.50255230922824;715.5252530513305;380.1221893491659;84.23987589523998
1020;5421.532599251716;318.9136823089245;435.9853814609432;293.74367057463627;140.9329323612185
1080;6282.200413855183;369.54120081501077;544.5872267109967;280.011969662719;167.18441050882706
1140;7875.054789057014;463.23851700335376;989.2460217722335;284.8263443559409;217.69437373566768
1200;8639.782175183784;508.2224808931637;797.8066144967194;273.60663332704064;201.95498146298578
1260;7795.6154026504355;458.56561192061383;743.0352671882813;408.06324847114286;208.23641505768452
1320;7657.209292003371;450.4240760001983;757.60416170597;305.779650658743;201.1974048475892
1380;6133.850433204671;360.8147313649807;548.1762362465214;297.04912500158406;140.92921901276083
