'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;6853.559723841831;403.15057199069594;767.8102254896065;249.99507579698144;128.75847218020957
60;6062.453848846495;356.61493228508795;738.3660581800582;234.9127196191779;106.00296008407418
120;5020.8971953577475;295.3468938445734;693.1702952807951;153.03593556951483;95.98401421798928
180;4262.661273514544;250.74478079497317;634.0421639960388;79.80108265464831;79.80108265464831
240;4311.011978750325;253.58893992648973;607.2579876203823;69.80115792099812;69.80115792099812
300;4446.866095322998;261.58035854841165;592.6413501708729;92.9833778006584;62.76197417071325
360;5257.844223031124;309.28495429594847;471.936964053525;213.98066701197672;99.81051575098334
420;5376.500634190578;316.26474318768106;384.48102301178545;269.77567339710254;73.97791325104683
480;5668.391861563772;333.4348153861042;482.3194463687104;169.31289883792223;126.102877273071
540;6813.215545956726;400.777385056278;667.8525589702725;369.4203460476078;156.37407637211425
600;6305.555325405435;370.91501914149615;568.6153303526503;352.04021811597477;77.96356454780735
660;6348.153277105441;373.4207810062024;711.0396998190228;167.95393297202864;89.2772996851051
720;7443.514649013519;437.8538028831482;1018.2859160454096;222.1572430319266;96.55222785716413
780;6240.682829177473;367.09898995161603;638.6811388890359;294.54915089289034;146.92008587012393
840;7887.154143987057;463.9502437639445;747.2720689687447;476.30999283102625;144.19886869500152
900;6410.766269970461;377.1038982335565;762.107128788748;321.87995347675513;137.32547236827492
960;7938.977971453721;466.99870420316006;772.6860402760889;509.22478999159625;171.35993037329482
1020;8961.330167593145;527.1370686819497;824.0163566508934;545.0028113183017;246.27595005123388
1080;7571.875850010126;445.4044617653015;706.7451150046471;456.01283786192204;175.91534637214392
1140;7389.165885274579;434.6568167808576;985.2154938141418;308.54402886068897;136.83644183190523
1200;7657.680908691049;450.451818158297;684.283375445693;464.70102608589525;156.89530607010613
1260;8337.271587256324;490.4277404268426;976.3614076119233;254.50435574105353;148.0335298314625
1320;9257.317431786969;544.5480842227629;981.7038663340642;273.346582046783;152.7733336744135
1380;8756.95741911383;515.1151423008135;816.3474130546281;418.0306567193457;141.34014614864634
