'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;6506.505949751871;382.73564410305124;767.8102254896065;245.61826495447318;128.75847218020957
60;6581.126730590879;387.12510179946344;739.8837892651434;308.9604750211515;106.00296008407418
120;5709.73305815733;335.8666504798429;693.1702952807951;153.03593556951483;95.98401421798928
180;4660.961786819416;274.1742227540833;634.0421639960388;180.8383777690675;79.80108265464831
240;4258.58787280182;250.50516898834235;610.0113877180846;126.62060270137235;69.80115792099812
300;3784.7313953430025;222.63125854958838;537.3997675471398;118.0035567944462;62.76197417071325
360;3316.4657076013505;195.08621809419708;416.80316372716607;123.95925808861828;68.8254577622595
420;3747.566057583222;220.44506221077776;440.8988509696236;129.54957390178902;73.97791325104683
480;4412.586265156524;259.56389795038376;516.8460338592016;126.102877273071;69.9965962339484
540;5827.930807026693;342.8194592368643;581.7399793004477;221.53249663380325;74.8128674136451
600;7080.102665447208;416.47662737924753;758.6152586846553;279.7138018828929;163.3280031354916
660;6161.9886986085885;362.46992344756404;643.8242546281649;245.0840769021202;183.9935423465532
720;7167.32664490716;421.60744970042117;825.3034031917496;292.29912935749036;156.09542636946355
780;8148.964530196682;479.3508547174519;711.3799541117671;515.9872498373778;211.02710239851802
840;8817.215403913639;518.6597296419787;914.7706487353078;366.5253094008653;144.19886869500152
900;7013.159554813774;412.5387973419867;745.5997167376161;313.73756203406253;121.30932613784903
960;9316.001608145069;548.0000945967687;1394.429811811462;392.623314588837;83.81651774095464
1020;8108.45689092229;476.9680524071935;788.4617497379289;261.47337962008464;142.1652277472348
1080;8034.271572933937;472.60421017258454;872.1229218517456;518.9990318265948;136.00916852145474
1140;7722.005983615901;454.23564609505297;633.8305612862619;493.4267510026019;166.850544473446
1200;8885.968219349656;522.7040129029209;691.9231518470641;528.8031090282859;331.82251938933825
1260;8861.651373487091;521.2736102051231;736.915071861153;379.4513987072106;174.97680852864096
1320;8449.404051878773;497.0237677575749;816.403196634026;448.9402826723123;211.12663581710694
1380;8335.73188748839;490.3371698522582;868.2854070735011;289.4418852308982;149.88734929229014
