'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;6471.379695288691;380.66939384051125;1352.1178238294272;176.48897223193507;74.09042589791746
60;5980.419110217463;351.7893594245566;1304.2419991908516;156.11393518717267;68.95261227827173
120;4655.421674293321;273.8483337819601;608.9055113670986;91.05990149078764;53.0252872564373
180;1418.3857736366165;83.43445727274215;164.04637303701745;53.95809158007598;45.41088843643219
240;1926.184610480584;113.30497708709318;145.86191912259204;81.38651291202605;43.506883058443194
300;1383.805112251721;81.40030072068947;108.69078413558168;81.41448230740858;44.586760558253324
360;1846.7978624523341;108.63516837954907;194.35713640591544;93.66325539241222;56.907388508173014
420;1942.6172482434188;114.27160283784816;162.88179309919332;75.36420854795544;71.84327550069791
480;2327.999396015562;136.9411409420919;171.88107359933034;95.11706771899314;70.36986971152112
540;5023.25720195245;295.4857177619088;552.535252924295;192.10640171706538;134.41832380437373
600;5013.751284959938;294.926546174114;684.024793153028;234.57270913777552;78.76593192076045
660;3854.4265192941375;226.73097172318455;325.6110709696652;181.47231657079115;83.02940756852621
720;4108.8942598905505;241.69966234650298;436.8997012079593;165.72281977646853;76.88017968255387
780;5350.868569293812;314.75697466434184;583.9991572593892;228.12940872475943;124.25822391341596
840;4166.294485767942;245.07614622164365;401.68396387107686;173.2777043563652;98.54851710614933
900;3940.694099665456;231.8055352744386;406.9498428675655;179.4563897105622;90.83220865040742
960;4193.598725000127;246.68227794118394;327.80153447646063;234.8289147010637;100.282650716192
1020;5093.409644354799;299.6123320208705;375.8386752685664;221.21296191974545;130.32405364142966
1080;6153.645898200765;361.97917048239793;679.2081278128775;314.29305271967434;150.76014538648238
1140;8737.04415132049;513.9437736070877;801.8819301138371;348.3031744581061;224.99990843953356
1200;8907.479200053624;523.9693647090367;760.9963781436453;531.2988807014061;203.21338531314342
1260;7357.090066287424;432.77000389926025;850.5211399595856;300.85360293538895;165.08230291122112
1320;10754.417391385068;632.6127877285335;1120.3098952187684;432.81042860394115;220.64290350976384
1380;8672.470881803865;510.1453459884627;1528.7032820425816;253.31024743263336;101.19824679544898
