'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;3273.4011304354112;192.55300767267124;268.1904924920874;183.8955192287766;74.09042589791746
60;3901.2745880327248;229.48674047251322;263.5669375777897;109.36228129253786;68.95261227827173
120;3160.765590550137;185.9273876794198;246.8694585393291;91.05990149078764;53.0252872564373
180;3342.395388186403;196.6114934227296;341.852662781168;109.51393635018992;45.41088843643219
240;3717.7974373707634;218.69396690416255;426.123793781164;81.38651291202605;43.506883058443194
300;1133.109253054865;66.65348547381558;81.41448230740858;46.72356134416426;44.586760558253324
360;1847.2849172031306;108.66381865900769;140.67074961725558;56.907388508173014;56.907388508173014
420;1734.8738065157775;102.05140038328102;135.95131228908704;71.84327550069791;71.84327550069791
480;2613.1170418885918;153.71276716991716;273.6077277438997;107.77405707093621;70.36986971152112
540;4700.486700640085;276.49921768471086;661.8646201051814;140.82753094109404;82.67113383131895
600;3334.1488461902377;196.1264027170728;577.564780282243;116.59558309780915;78.76593192076045
660;3864.0839995959586;227.29905879976226;390.72051753548567;175.6574840366454;104.64155922100137
720;6430.013463344971;378.2360860791159;779.399561211045;238.76498024995814;76.88017968255387
780;5973.714920209788;351.3949953064581;564.1375908984021;339.95126036964456;85.20030889790677
840;6218.377336347149;365.7869021380676;712.6866566013659;199.57970631190136;140.58066388366092
900;8049.87350729575;473.52197101739705;871.0353430610077;288.9196785081599;154.46293759581482
960;7307.749744747163;429.8676320439508;877.944375220953;266.7706984584845;139.13941698416863
1020;5924.283470586484;348.48726297567555;647.9012115882855;257.9107469755815;144.42651188875567
1080;7867.863942229403;462.81552601349426;897.430881707221;317.25056890244355;150.76014538648238
1140;6103.626072287016;359.0368277815892;527.115175549832;270.57530613821893;149.69527292941862
1200;8514.17596492359;500.8338802896229;976.0336358577081;265.53266874719225;188.06763517038866
1260;8082.468858810114;475.4393446358891;645.1569919412009;310.0612316888117;184.1073653794809
1320;6850.960607247353;402.9976827792561;656.7698020656887;266.82554008883426;170.9209238780713
1380;5348.826308837968;314.63684169635104;506.75701007465335;255.31564755911245;137.6588479810427
