'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;22532.814933459373;225.32814933459372;367.75329685752325;159.75781157105388;101.41809688827784
60;15462.47325428133;154.62473254281332;175.53490496836662;103.94897425392409;76.17098682462904
120;12259.840285087947;122.59840285087947;131.83316889249545;79.81274274539604;59.4370565484226
180;7833.038789984453;78.33038789984452;105.04330304803834;46.70258179657267;46.70258179657267
240;6588.752337220218;65.88752337220218;94.64543382189713;36.30420295546595;36.30420295546595
300;6702.743801945201;67.027438019452;93.76250136629267;29.654464577903525;29.654464577903525
360;7806.194251400764;78.06194251400764;106.00992719062607;43.85505827043899;35.307320031987096
420;10629.18859735877;106.29188597358771;139.84003969002782;66.6203156935696;46.77329403259025
480;13231.598701889649;132.3159870188965;193.4144727363713;57.35459393312248;52.49278186871488
540;18247.62997727576;182.47629977275759;313.9495072493938;100.57018172813058;60.44232784685207
600;20698.877931942443;206.98877931942442;386.0258941662837;122.68314434866231;58.57912077133398
660;21911.793293276525;219.11793293276526;374.76658681119244;143.71492845991364;67.04055941393239
720;19123.53224863047;191.23532248630468;253.13633916292915;119.1312244543228;60.700817259957375
780;17890.885717557394;178.90885717557393;258.59136261562594;116.77944878302854;58.438217916597345
840;20155.710570674357;201.55710570674356;378.0653478829802;120.69628943578651;62.35505856935533
900;21911.265519756573;219.11265519756572;436.116316103721;118.89186916914295;66.74428758862823
960;18857.105538033793;188.57105538033792;272.20983228069684;123.68065849503364;57.27917627797404
1020;21029.72217184303;210.2972217184303;326.6692010506414;136.66124975558972;61.377153068325256
1080;22188.27854699424;221.8827854699424;318.33050848594075;183.1783256643039;96.54363525846121
1140;26371.705506163045;263.71705506163045;352.6210346147452;207.31992646170286;119.33403078982575
1200;27862.888904445954;278.6288890444595;421.6361695784256;194.03551711868448;137.67885533058333
1260;32905.523486105594;329.05523486105596;567.6813352825728;215.45473062965647;130.42562117819222
1320;28743.08381655011;287.43083816550114;476.56955248067715;203.54226570367717;124.36005587982413
1380;27558.633769550193;275.5863376955019;488.599219344527;173.11531905606492;113.34814178695238
