'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;31557.640987885265;315.57640987885264;526.8861026568992;217.105882808067;99.14283533340549
60;25816.6480505648;258.166480505648;474.2618340549739;155.9613391777403;72.67520085622152
120;22598.76475788363;225.9876475788363;394.50184349985;122.72882244290616;64.3881011914405
180;17717.15298006344;177.1715298006344;346.5473373253299;107.48101403034964;49.1407981558872
240;17502.253434722526;175.02253434722527;342.2327661083623;103.51964340828658;39.41262687989248
300;16264.636213328191;162.6463621332819;316.39484556272464;90.98522169324872;32.64399082681755
360;14085.890171264617;140.85890171264617;246.70968434349183;96.419996551273;38.67953403838453
420;15210.755309422126;152.10755309422126;226.09837285602583;107.49536936750242;43.3883528391083
480;20941.592172512755;209.41592172512756;340.4705703101499;199.06058638479894;39.444954909124526
540;23160.37712533881;231.60377125338812;393.40258992766456;203.5374100064899;44.07346008288913
600;24035.698478804352;240.35698478804352;406.7624233290078;210.7832849210632;51.62768898861082
660;23195.99345924455;231.9599345924455;369.9404681535527;216.5363522417319;73.86940688100081
720;25786.968094206673;257.86968094206674;431.60052290313297;238.99301870115022;88.99897769341052
780;27746.800835307284;277.46800835307283;429.0320258538791;254.19315652759394;84.66197977952747
840;25937.03134309312;259.3703134309312;421.12435765186325;198.09492041006115;46.794236949893076
900;24973.43278336346;249.7343278336346;436.20659536596713;203.0154960139236;55.92663175060808
960;27386.551517894368;273.86551517894367;411.12394002444233;200.76082993716426;80.21796475283865
1020;28085.41285725831;280.8541285725831;445.6990593921946;285.7564400634477;82.9234595782172
1080;28159.125178906208;281.5912517890621;473.3387984083574;250.91854052529706;91.23599564348677
1140;26328.456732300187;263.28456732300185;401.79653030541306;220.98238434261617;88.86525266275886
1200;29368.49193041637;293.6849193041637;452.2795320164393;294.83482334757434;131.453643590789
1260;34389.01953602544;343.8901953602544;520.492279314258;318.4014869123339;145.3323808114518
1320;37310.43546478432;373.1043546478432;558.1772771105309;295.7578417000328;143.93037511694322
1380;34414.002575993654;344.1400257599365;508.02437640362297;209.9021126003175;108.24285347767622
