'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;29341.474526779824;293.41474526779825;491.8252937806133;193.91257783538208;119.56213809985296
60;23847.642525920743;238.47642525920742;440.86652563559903;131.01746388150463;72.67520085622152
120;21154.9204691665;211.549204691665;387.29451188840153;120.89293662556963;64.3881011914405
180;18109.72527988945;181.09725279889452;346.5473373253299;107.48101403034964;49.1407981558872
240;17236.69917954172;172.3669917954172;342.2327661083623;66.12263670377929;39.41262687989248
300;15159.11736495262;151.5911736495262;316.39484556272464;62.72965646125678;32.64399082681755
360;14995.397512141406;149.95397512141406;269.4740545863298;78.21219423089426;38.67953403838453
420;14607.961015952467;146.07961015952466;219.6094494958683;97.87594356580237;43.3883528391083
480;16810.207865367753;168.10207865367752;234.42504538854595;103.55197143751865;39.444954909124526
540;17520.756809773582;175.20756809773582;271.1736416309993;131.8287693748847;44.07346008288913
600;21119.032201302092;211.19032201302093;323.4531424333039;192.14355970803862;46.93311159226746
660;24574.76514222079;245.7476514222079;418.84189079866957;203.30718722869233;77.11620305663524
720;26029.359831518035;260.29359831518036;414.8591681542118;227.64580762741335;88.99897769341052
780;27021.678973593567;270.21678973593566;421.88213387251216;227.262512759687;79.61077115274422
840;28394.937457611828;283.94937457611826;487.8825803069068;194.19870009242672;71.37581268143639
900;29797.920328086988;297.97920328086985;457.15372661816133;202.06304819820946;70.71279377712001
960;29775.727506923224;297.75727506923226;467.3432093806914;306.66554895611114;76.44302794393482
1020;24854.589483474836;248.54589483474837;380.29970854769783;237.8698520228583;74.32941559435206
1080;27494.509712948784;274.94509712948786;404.10135371131923;256.4624046780185;100.12446562545006
1140;29637.960557174756;296.37960557174756;425.6681970360634;265.4107269005086;123.86897448118867
1200;35274.51985710247;352.7451985710247;517.0334290405298;294.83482334757434;144.08252000243024
1260;37672.701092675416;376.72701092675413;593.662744141815;300.0077739481227;168.60361773230358
1320;38470.44439796385;384.70444397963854;600.0515164371263;323.15382315340344;168.72515355382228
1380;33338.45631177908;333.38456311779083;513.7921753073877;287.47403905152976;142.44594110542135
