'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;205456.45531033288;205.45645531033287;249.8898551348864;159.7588181397435;101.41809688827784
60;156516.0383277968;156.5160383277968;183.7477465142918;105.34109476186026;76.17098682462904
120;120004.75489129336;120.00475489129336;138.12912704543234;79.81274274539604;59.4370565484226
180;88614.62061678193;88.61462061678193;105.04642621298757;46.70258179657267;46.70258179657267
240;76331.64965355142;76.33164965355141;94.64698863443525;36.30420295546595;36.30420295546595
300;69185.64626354665;69.18564626354664;87.99569544433467;29.654464577903525;29.654464577903525
360;76213.69213756098;76.21369213756098;98.77510443780837;35.307320031987096;35.307320031987096
420;100144.64908091538;100.14464908091537;110.87930173247385;51.82450265937352;46.77329403259025
480;128397.669987481;128.397669987481;143.13033465478966;72.53073938268723;52.49278186871488
540;179307.08216027886;179.30708216027887;324.81194686459395;95.10874618976706;60.44232784685207
600;199431.00857620095;199.43100857620095;324.96546621584105;116.92190645030324;58.57912077133398
660;223338.78255783345;223.33878255783344;382.593618803933;147.23811025247568;67.04055941393239
720;222751.87355826434;222.75187355826435;372.95565518492134;155.0086314428016;68.2543330081268
780;213849.19020565515;213.84919020565513;359.9478354906154;143.81837867320343;58.438217916597345
840;209476.6196941731;209.4766196941731;356.9397901899013;136.82734507025674;62.35505856935533
900;215591.0910256086;215.5910910256086;398.55969693297413;135.1102747087757;60.55012439625181
960;214515.22315415344;214.51522315415343;381.43310326132803;136.43704583728126;57.27917627797404
1020;188256.42254942498;188.256422549425;285.4960011519425;122.18120342184504;58.17190256273515
1080;215292.74911569565;215.29274911569564;333.88157841500777;146.28741437419134;75.590123201053
1140;252336.46481864783;252.33646481864784;387.0283049223291;182.3725970427467;108.41421230077866
1200;288010.81441156915;288.01081441156913;439.0076866979824;214.75328005313492;128.4568923804225
1260;300372.98923635285;300.37298923635285;452.6981725121356;222.05133008841182;150.8454132370413
1320;285878.97418397665;285.87897418397665;452.77263443692834;205.09393212464502;141.96472111611172
1380;257221.02927107923;257.2210292710792;376.09955059944883;177.454149486836;113.34814178695238
