'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;204403.97765285143;204.40397765285144;245.73957251274524;159.75731451290713;101.41809688827784
60;155176.1107547481;155.1761107547481;177.1951593602945;99.50747917120154;76.17098682462904
120;115864.29617998673;115.86429617998674;133.29173722590625;79.81274274539604;59.4370565484226
180;93618.74741281911;93.6187474128191;110.80959832496677;55.12073439472069;46.70258179657267
240;74647.35331244407;74.64735331244407;100.40628589785665;36.30420295546595;36.30420295546595
300;68766.60865345706;68.76660865345707;87.99620935079466;29.654464577903525;29.654464577903525
360;77734.39856462093;77.73439856462093;96.20802734687656;35.307320031987096;35.307320031987096
420;106471.47462145828;106.47147462145828;130.72336360732734;66.6203156935696;46.77329403259025
480;153405.49284525518;153.4054928452552;224.3431126517605;75.61749737355481;52.49278186871488
540;194726.034743586;194.726034743586;367.35911572975385;109.89118501529022;60.44232784685207
600;202102.30478192578;202.10230478192577;370.76851762816784;121.36909344742644;58.57912077133398
660;201281.35492802935;201.28135492802934;341.67333710001947;125.37977703856176;67.04055941393239
720;187068.17336828407;187.06817336828408;305.7807869228252;118.22916941637203;60.700817259957375
780;188946.48892524643;188.94648892524643;286.43107080522157;121.47880211395479;58.438217916597345
840;207182.0106557848;207.1820106557848;340.75409527441644;138.1381235377123;62.35505856935533
900;218045.41940803686;218.04541940803685;367.39943946474494;139.12952571537917;60.55012439625181
960;212004.79381198797;212.00479381198798;349.9663365988161;142.06371840634569;61.42329968075981
1020;215704.65054013528;215.70465054013528;339.23094521273686;152.51377272354517;67.50001737030202
1080;225130.52454387367;225.13052454387366;336.80664895709134;161.69579834782405;82.66093888243618
1140;249534.58787518798;249.53458787518798;370.22445340543675;184.8294590702836;102.20117646397648
1200;278768.51195326657;278.76851195326657;388.2519238604104;203.03633140999975;137.06416729858998
1260;291829.0922136391;291.8290922136391;418.106919378857;215.45473062965647;151.3487229297729
1320;302944.0382767697;302.9440382767697;492.4753682847902;204.11638603281693;142.49233683455415
1380;261513.15746218024;261.51315746218023;378.8950331777065;180.7945375350073;113.34814178695238
