'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;200935.24643863318;200.9352464386332;242.77700355259176;159.75682153737353;101.41809688827784
60;157049.1193136443;157.0491193136443;181.91347990699165;107.28686043811335;76.17098682462904
120;120348.03271703489;120.3480327170349;138.1529586198585;79.81274274539604;59.4370565484226
180;97914.67814173317;97.91467814173316;110.80858949645629;63.232167623359224;46.70258179657267
240;73557.17996143064;73.55717996143063;94.64492420693165;36.30420295546595;36.30420295546595
300;63800.41031311385;63.80041031311385;81.47127820577383;29.654464577903525;29.654464577903525
360;74023.13870752329;74.02313870752329;93.64906480487825;35.307320031987096;35.307320031987096
420;92540.97340926777;92.54097340926776;110.87830414439243;52.11554540995642;46.77329403259025
480;130366.7694114118;130.3667694114118;153.49834615745905;72.53073938268723;52.49278186871488
540;185141.1986638296;185.14119866382958;319.27624785285764;107.38810181028572;60.44232784685207
600;213919.3122911851;213.91931229118512;410.67242549708635;122.68413088313618;58.57912077133398
660;235069.5447576;235.0695447576;412.0919980451698;160.34528516625687;74.08242550844741
720;233945.07101691017;233.94507101691016;405.75225589119486;161.04740910679675;74.78454944898748
780;210936.44837135472;210.93644837135471;368.07861083573715;139.73184081726248;58.438217916597345
840;208744.534811884;208.744534811884;344.0297023499572;132.67782535172825;62.35505856935533
900;215593.54954191745;215.59354954191747;387.1182914704414;136.36098018232073;60.55012439625181
960;214323.7415961061;214.3237415961061;372.8318664934397;136.43551693885257;57.27917627797404
1020;188695.47783528708;188.69547783528708;280.08877043295547;122.28201495168724;58.17190256273515
1080;220017.02609334208;220.01702609334208;328.6818127450603;160.6516720468504;75.590123201053
1140;245481.4487472762;245.4814487472762;360.068027783501;181.8199753900118;106.72892540460745
1200;285943.7807000695;285.9437807000695;456.96498615525184;212.2459688551039;130.00572391154157
1260;285195.44727774034;285.19544727774036;435.8608841035124;209.68995379620404;151.3487229297729
1320;281047.6214687709;281.0476214687709;435.9578151760467;201.11421083945027;135.43172701018534
1380;252317.92268609058;252.31792268609058;363.2854346598923;175.87348840492496;113.34814178695238
