'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;163517.36800388235;163.51736800388235;211.7413552934847;110.74172552673161;52.402010843955594
60;129860.85885725085;129.86085885725083;147.5306185549127;79.8550280174677;46.73410612636992
120;97214.22455407621;97.21422455407621;106.60312506274802;48.26189419631684;31.96134523873811
180;79351.90979423754;79.35190979423754;94.26483783608398;41.18814225208623;24.970698770591483
240;67407.44679354184;67.40744679354184;87.35287247617497;37.1372812219299;23.247862364372764
300;68704.89249597206;68.70489249597206;88.61411269553977;36.29279515770193;24.50810499565614
360;82915.59921789097;82.91559921789097;100.9161137254733;41.0837733663765;36.81010602558968
420;104081.67216626272;104.08167216626272;116.5277832700033;67.32785255485565;51.4502352260722
480;121517.04707180374;121.51704707180374;134.19432452737027;66.03247483948311;50.002108828305225
540;179766.7455799008;179.7667455799008;305.2548145721628;99.34317476507348;62.17819561081501
600;195604.68576841988;195.60468576841987;342.4721494220124;117.02639289263425;58.078963283733856
660;226711.27730298482;226.71127730298483;404.7072214600043;137.93101265412062;57.982464197812575
720;242910.8469300827;242.91084693008273;424.53030710333934;147.55024071908065;67.25973440157321
780;232899.38524324074;232.89938524324074;396.0161040136431;152.10168239811034;71.19384320373042
840;222784.13942710118;222.7841394271012;397.93149320251626;139.99778124899632;64.5616301888176
900;224816.73888531484;224.81673888531483;404.70275196605087;139.66059651422972;68.9561661836681
960;250956.39318078398;250.95639318078398;436.7049586022877;161.35609086624186;81.82346262490155
1020;259781.5278446909;259.7815278446909;384.92635464762867;187.46940647277938;112.3684849383485
1080;277264.8241416759;277.2648241416759;385.85156059435093;209.6332151174307;131.86346349036396
1140;284085.4738972752;284.0854738972752;426.25382795919774;202.0634811745343;126.574719371103
1200;296069.474010305;296.069474010305;458.10226680721274;216.32124259912814;125.37974851324256
1260;292995.70354676526;292.99570354676524;457.82847462850026;201.07972383918147;131.11599871397752
1320;285038.86635536165;285.0388663553617;487.58951470373137;187.51269228077723;113.34042612062363
1380;227319.55882367957;227.31955882367959;380.417178841132;141.5554377961122;77.44943009622858
