'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;2606.8245501427355;260.68245501427356;492.07626319244645;180.2448729514938;137.94931492927054
60;1092.0093785790675;109.20093785790675;154.79076497832568;113.28137584391787;84.40878041908415
120;1193.5936291457158;119.35936291457158;136.79593837425784;67.24678081345942;67.24678081345942
180;1803.9860401444814;180.39860401444815;120.98451590538892;54.281041948102605;54.281041948102605
240;1462.0018281304233;146.20018281304232;125.49321562072029;71.99974081068005;43.81549240771664
300;1313.2111819645413;131.32111819645414;118.77660457788703;37.09888136488339;37.09888136488339
360;1567.2637950749313;156.72637950749314;230.7948754623723;70.10675822758414;42.758642986334735
420;1763.813698512898;176.3813698512898;175.46215009502035;81.89958081044185;54.33427294797053
480;1893.9517714890708;189.39517714890707;180.92812148206588;60.04438812838178;60.04438812838178
540;1600.9327212028265;160.09327212028265;285.45796086370797;122.35839165177985;68.04034519555586
600;1285.8961717397942;128.58961717397943;198.95946537466494;84.2155617873024;66.24907736345192
660;2612.8610703160475;261.28610703160473;533.3612360021634;185.05580030323523;105.02653550019892
720;3269.5828355284366;326.9582835528437;559.2368171625898;208.75049891037352;118.86446322263222
780;2656.969539229586;265.69695392295864;423.4022913926635;186.78896692126386;78.553945898661
840;3233.531431643141;323.3531431643141;792.130892199171;134.6955137025518;70.58540131359969
900;3911.3373841834145;391.13373841834147;661.0275235330535;451.27785594880186;137.0067988127653
960;2120.9570240362114;212.09570240362115;524.1564814229532;146.95516219645774;112.29007637962627
1020;1929.1394171071292;192.91394171071292;380.80322583610547;177.4401542686469;66.32322518660646
1080;1599.3342752397825;159.93342752397825;201.61002399898248;178.43832197139307;138.0626370537889
1140;2701.7250597208686;270.17250597208687;521.6638666483319;227.76964870408;106.88403418429945
1200;3788.9238636308282;378.89238636308284;568.0971346702391;215.77070807308993;207.1079595858897
1260;3182.4825671883737;318.24825671883735;409.2874185018045;238.83327840043427;220.70431612369117
1320;3343.4538294755607;334.34538294755606;477.3693137340035;335.28734485925185;214.40575196336795
1380;2145.7521852345867;214.57521852345866;277.8057674285163;203.20597952971025;131.05812142389718
