'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;2004.3562179485918;200.43562179485917;277.65591924960034;147.92235853680685;123.07254717562493
60;1338.328760840635;133.83287608406349;191.18776826360534;113.28137584391787;84.40878041908415
120;1198.2953797229045;119.82953797229045;188.12865384499284;95.5463449759225;67.24678081345942
180;1003.3851445077626;100.33851445077626;178.27011553889028;82.43632577014215;54.281041948102605
240;688.5403015400402;68.85403015400402;108.32591320736795;43.81549240771664;43.81549240771664
300;568.7927791026939;56.87927791026939;106.59386527048454;37.09888136488339;37.09888136488339
360;820.1570178396611;82.01570178396611;124.43424354222115;62.90656246668718;42.758642986334735
420;1388.2849532427201;138.828495324272;316.5937810026684;91.08829319811943;54.33427294797053
480;917.1933062394128;91.71933062394127;156.43953117924042;87.87488467556565;60.04438812838178
540;1945.916969782715;194.5916969782715;438.26423213081426;118.02947326687571;68.04034519555586
600;1686.2279024963616;168.62279024963615;344.8659450214155;111.51411607697183;66.24907736345192
660;1691.795258686047;169.17952586860469;315.85394940593386;111.87065702083281;74.83305936868888
720;2467.322244589684;246.7322244589684;430.0119745000413;237.65155418268904;98.4106518736831
780;1651.8741776727493;165.18741776727492;328.61058493964447;164.26383664555658;95.86137396627367
840;1745.0407866730077;174.50407866730077;274.0659903363574;149.7530976158649;75.12986750190146
900;2609.926802164598;260.9926802164598;510.99819189763025;158.20223242367544;68.660945226081
960;2755.27891744651;275.527891744651;578.550214944516;243.645494042623;65.27599396106139
1020;2920.268386078375;292.0268386078375;486.8434039253466;260.8876449606682;147.99882574249295
1080;2751.812614817609;275.1812614817609;493.49317397215924;183.30099708759934;170.23819052349197
1140;3288.9388445239247;328.89388445239246;561.2311028241556;217.75859357887026;162.44170961452807
1200;3950.57544913622;395.057544913622;662.0786686987946;243.22422730711617;156.73846843516463
1260;4548.82610605715;454.88261060571506;880.632698093034;350.2172815072538;220.70358440853056
1320;5737.230429074969;573.7230429074968;874.3355912012198;604.0793366268831;305.4647654953944
1380;4300.33046670223;430.03304667022303;899.8912719477067;436.28940631797195;185.63397988946053
