'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;3243.4794183983768;324.3479418398377;697.9399913708678;162.50232976523452;105.87535629700399
60;2602.6096778448405;260.260967784484;519.4183379561586;117.20766767936811;82.56055316956765
120;2421.0489541049665;242.10489541049665;484.7315657419806;107.71924730444029;73.75977030948462
180;2073.1179410810987;207.31179410810986;436.75236382610484;92.02129092417054;58.234950337723156
240;1908.7372377485715;190.87372377485715;433.83362414973664;82.24727230614941;48.426174222593296
300;1665.9668841736782;166.59668841736783;402.7147424532571;74.45918539008203;41.57729097119339
360;1828.1965244422518;182.81965244422517;312.38676742646555;108.23182029026731;80.43885987310094
420;1752.0474475478968;175.2047447547897;286.6354360033155;109.04399405140678;52.461527537564656
480;2798.4414676257124;279.84414676257126;414.8681303759665;208.28371132801814;81.90347827734543
540;5653.32679331843;565.332679331843;1000.746502351963;571.7529232160458;180.75496131305042
600;4434.598940404404;443.4598940404404;989.8441314082486;388.88718816906066;221.18316658046933
660;3454.711219801753;345.4711219801753;589.3635646354037;419.82110192660934;101.35863969681859
720;2475.3611028662735;247.53611028662735;487.78466117220074;167.3648153713202;73.28988551490818
780;2666.1706050201146;266.61706050201144;599.2876773130254;140.61070635628167;99.40989875952839
840;3331.7364733608474;333.17364733608474;586.6683303532052;320.3936610549736;133.02601190369757
900;3254.0117508073054;325.4011750807305;757.7694552575482;200.8764417378453;90.30370811613676
960;2419.9014403809433;241.99014403809434;454.8135818417416;168.37706940675812;104.11269699332586
1020;2254.0264638202525;225.40264638202524;357.79254729977475;221.6066788270076;112.19499608672909
1080;2308.737336831293;230.87373368312927;349.9356639768358;278.4407753546523;110.79966214609168
1140;2800.085022624221;280.0085022624221;431.0076193614937;328.08921554970095;118.6312005921821
1200;3439.3894202618203;343.938942026182;634.7402008271868;359.89674411090505;104.65617822412158
1260;5481.603714693839;548.1603714693839;900.8130274927713;604.2942032328946;187.66882618622992
1320;4065.7021744816957;406.57021744816956;658.6148796663269;597.0277055881149;193.06753124938652
1380;3917.3843860832853;391.7384386083285;699.9683931851215;440.52226873829454;139.42818377045737
