'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;2047.0168903492076;204.70168903492078;458.0067184236582;81.62698527674978;58.835015309113764
60;2604.365060198005;260.4365060198005;794.4923294662458;76.42241734180098;53.32434100193399
120;2026.6887916467713;202.66887916467712;779.377113115079;38.209124650767535;38.209124650767535
180;1227.6339567340856;122.76339567340855;112.70837156629642;31.03346689181542;31.03346689181542
240;1048.7455174139245;104.87455174139245;110.93179860065432;51.804292648544035;29.256893926173316
300;532.6111678109779;53.26111678109779;87.71434510060426;52.38490137116582;30.463638425240045
360;928.9681949744811;92.8968194974481;142.24596048770178;44.45479490869741;42.77116438906779
420;1450.5248729476075;145.05248729476074;186.98178148597103;79.55126464835347;57.499018358376446
480;1797.8875679909027;179.78875679909027;201.82442716541902;78.30779107378584;56.043393836038774
540;2748.682874632205;274.8682874632205;527.9943209356921;189.14605029074056;103.78843322152913
600;2699.668998520643;269.96689985206433;500.0811715443032;145.8919383094801;118.53297501365212
660;2401.1492468989777;240.11492468989778;428.5772319733708;146.45604069306447;100.97111855004114
720;2919.2017591455506;291.92017591455505;508.09387228890625;316.6795848096217;85.00020483227985
780;1716.8601289135108;171.68601289135108;259.0242656279363;185.74299215755542;92.58476583968557
840;1953.8119547940626;195.38119547940624;299.0573075856674;155.32226268454025;71.14590438421305
900;2375.716897183308;237.5716897183308;583.328020505983;133.98156008289888;92.54002725510324
960;3031.8659425430747;303.18659425430747;526.9144626902387;166.78926838185276;85.11154516884913
1020;3558.996373803992;355.8996373803992;717.7287976420853;178.96684667767929;114.85983014928522
1080;3317.8601551485667;331.7860155148567;634.5119360211173;285.0583967955373;176.5342068375462
1140;2804.729186341847;280.4729186341847;340.9169752668956;219.26139710671026;162.0197138053242
1200;3624.3974401295777;362.43974401295776;610.6087088523162;313.34586429757405;159.00143419552336
1260;3177.6413073349922;317.7641307334992;534.7816930273825;268.2311885615385;192.84178984916906
1320;2929.509978245538;292.95099782455384;619.0511093660887;235.41532267242533;139.30091970390288
1380;3167.2295673259164;316.7229567325916;489.3160961306615;200.52908985423727;148.10110901718735
