'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;24301.875365254775;243.01875365254776;287.2273115803848;191.13707568272918;109.45935246972553
60;18556.241389184703;185.56241389184703;194.95697639980432;114.71797807074756;84.40878041908415
120;13804.867338006918;138.04867338006918;157.9153207970679;91.8199898514353;67.24678081345942
180;10734.041678451747;107.34041678451747;135.95805170015453;54.281041948102605;54.281041948102605
240;10178.559545091293;101.78559545091294;107.91951598504497;43.81549240771664;43.81549240771664
300;9980.107323945565;99.80107323945566;111.19289778212415;37.09888136488339;37.09888136488339
360;10542.942834111647;105.42942834111648;119.27388031414257;42.758642986334735;42.758642986334735
420;13839.52891839431;138.3952891839431;146.00659733883595;71.4297494248743;54.33427294797053
480;18238.586950407538;182.38586950407537;212.94350955129855;109.66995890463753;60.04438812838178
540;24808.209939399334;248.08209939399333;468.0330099183741;138.7447755261174;68.04034519555586
600;27321.871655186696;273.218716551867;452.83097586823067;167.93910785848757;79.86203123228586
660;25647.570694605154;256.47570694605156;504.03056353750134;156.51078258169252;74.83305936868888
720;22632.357309191648;226.32357309191647;395.8447273232568;148.78125220741742;68.87533515131237
780;24562.309482595378;245.62309482595379;437.1470904160911;148.47886797606733;66.80042529401979
840;19353.593930383966;193.53593930383965;263.7356527867144;134.6955137025518;70.58540131359969
900;21966.094156651103;219.66094156651104;376.83823912891376;138.41140369164265;68.660945226081
960;25645.042717116507;256.4504271711651;460.1584155805683;159.12467083319635;65.27599396106139
1020;26212.065389027695;262.12065389027697;392.9216979910742;177.4649189670234;66.32322518660646
1080;26238.245237251507;262.38245237251505;403.0884128222968;184.762421775341;83.74459059756495
1140;26538.155305202334;265.3815530520233;359.007928873473;188.56247686634705;106.88403418429945
1200;31927.45573134477;319.2745573134477;454.4970026008549;223.44577385010757;132.23471796454572
1260;32586.042563316954;325.86042563316954;481.5660043296109;249.76272239904372;156.72125620261838
1320;37014.550789463196;370.145507894632;625.5473185334575;243.3515678652749;167.9867295149343
1380;33536.599558616545;335.36599558616547;568.4965129507927;231.5859364824788;149.91033592659232
