'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;25971.415247498197;259.714152474982;312.01682605714547;181.5123218126618;109.45935246972553
60;20030.90397846671;200.3090397846671;217.5419935340005;125.06535834427136;84.40878041908415
120;14427.408680291821;144.27408680291822;169.99955315527285;95.5463449759225;67.24678081345942
180;11968.140648857398;119.68140648857397;146.54034934747042;54.281041948102605;54.281041948102605
240;9059.775027531432;90.59775027531433;119.58848653687515;43.81549240771664;43.81549240771664
300;6767.036382789819;67.67036382789819;101.20192927864113;37.09888136488339;37.09888136488339
360;10412.695551929002;104.12695551929002;106.86771166161346;42.758642986334735;42.758642986334735
420;11092.405409154651;110.92405409154651;129.20486522068484;69.29281486526133;54.33427294797053
480;13127.351598135318;131.27351598135317;149.2949895303702;60.04438812838178;60.04438812838178
540;20250.03383552572;202.50033835525718;313.3320141544967;118.55560208069319;68.04034519555586
600;23770.383440106478;237.70383440106477;423.0369594855476;132.4499539290751;66.24907736345192
660;29456.38326703907;294.5638326703907;556.2245429123584;156.51078258169252;83.19527535592549
720;24030.932210917566;240.30932210917567;368.19793050326535;151.27589367332956;68.87533515131237
780;24840.965906287267;248.40965906287266;363.31506070672316;161.516667955468;66.80042529401979
840;23732.2757345997;237.32275734599702;368.9539342230591;152.26170353784713;70.58540131359969
900;27704.452032405406;277.0445203240541;504.0771701813304;164.5232266009703;68.660945226081
960;27554.867929793534;275.54867929793534;447.73423337068596;173.10378261076784;94.18727838663929
1020;20387.27473035069;203.8727473035069;311.8646045217105;133.02787924551347;66.32322518660646
1080;26125.946059017107;261.2594605901711;388.6013776461329;165.4208928218124;83.74459059756495
1140;29776.142515106392;297.7614251510639;495.80370808448345;193.40169820737086;122.9105361092703
1200;28324.910787017994;283.24910787017996;409.01006244498865;213.90962263902662;140.78192110818947
1260;36428.15884181632;364.2815884181632;574.8710012432923;260.6206043804005;168.08427971699612
1320;38515.171552563785;385.1517155256378;628.7127677119272;253.60372300234602;161.67239962987853
1380;33157.18912398342;331.5718912398342;476.68045026445503;203.20669299066188;121.5289697776583
