'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;25853.389526007097;258.53389526007095;502.1665590926265;140.51273852211744;58.835015309113764
60;17841.569010352163;178.41569010352163;174.20995552171456;95.52600392021928;53.32434100193399
120;14109.691594529137;141.09691594529136;130.8880957825993;60.84877598073798;38.209124650767535
180;11437.559960547222;114.37559960547222;116.9040135471311;53.557693949447;31.03346689181542
240;8673.733407807187;86.73733407807187;99.95593204861045;51.804292648544035;29.256893926173316
300;8399.972142759787;83.99972142759788;112.13994064948746;30.463638425240045;30.463638425240045
360;9427.805251179707;94.27805251179707;113.49727096916124;42.77116438906779;42.77116438906779
420;10350.672551104693;103.50672551104694;139.7337983044104;57.499018358376446;57.499018358376446
480;18925.326659087263;189.2532665908726;259.079286196447;99.30222584757445;56.043393836038774
540;26093.114080812902;260.93114080812904;486.3674088516089;122.57465594600195;68.256609489778
600;28231.019510435093;282.31019510435095;521.6026050762885;128.31895213475653;64.2149285574282
660;29066.284285214664;290.66284285214664;494.0153545100612;145.89418737462148;87.05417646454568
720;26989.174208123528;269.8917420812353;478.15977973026145;154.23243970723397;65.64555302620512
780;20073.926888875525;200.73926888875525;230.1804492195306;127.29304661427966;69.3360069018825
840;22267.882938459417;222.67882938459417;355.97348232165797;147.034365935378;71.14590438421305
900;26659.081907738517;266.59081907738516;426.27840179085325;176.70509682013423;95.65095461530706
960;27771.998193248015;277.71998193248015;429.7611387191703;201.50526920496688;85.11154516884913
1020;30958.571899320777;309.58571899320776;487.6247570834808;204.24590011283638;114.85983014928522
1080;29395.779195864645;293.95779195864645;420.46357719577674;216.96985576194228;135.28995581138534
1140;27699.550677460862;276.9955067746086;391.9933368282662;219.95017470384428;143.18842933254894
1200;31978.599233250756;319.78599233250753;513.7261402799402;218.92747813715195;132.2914243716366
1260;37178.95431370661;371.78954313706606;624.8522666000304;249.62528315395534;151.9856571069302
1320;35283.911367120934;352.83911367120936;494.0736780441946;250.62796047272047;139.30091970390288
1380;30975.73156959553;309.7573156959553;517.8652049098242;170.0242363415758;106.6991854079405
