'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;1631.2833906605802;326.256678132116;653.2998230741273;116.76543637112218;105.87535629700399
60;1476.843816560748;295.3687633121496;699.6380033301579;82.56055316956765;82.56055316956765
120;1306.378221631618;261.27564432632363;600.3673449611836;73.75977030948462;73.75977030948462
180;1315.5424629818308;263.10849259636615;552.2150066367993;210.10519184348027;58.234950337723156
240;1320.0353678592096;264.00707357184194;549.3310244575403;240.0183708067462;48.426174222593296
300;1148.5100818870637;229.70201637741275;443.7642670945705;218.87649039684916;41.57729097119339
360;988.036253563444;197.6072507126888;345.20450571596473;235.20273725381037;47.62112158360167
420;814.4519601812026;162.8903920362405;279.50947781709266;160.01601198186484;76.03383446255326
480;847.3754440514939;169.4750888102988;285.06110499923614;149.5310549563903;112.61189253252708
540;1216.859780267152;243.3719560534304;382.1049097326406;286.09266403322624;131.23311765853023
600;1523.4277850302392;304.6855570060478;560.1893148732305;298.4501180046801;262.3027442355805
660;1685.2073609935078;337.04147219870157;523.7457905784622;432.16741765126824;166.71545429618223
720;2736.949469891237;547.3898939782474;1193.0267690886908;456.8714546307238;456.4668636685018
780;4336.448068934319;867.2896137868638;1231.2653807190068;860.7777976986167;755.1306379230533
840;3524.9120862001537;704.9824172400307;1160.2433661214811;638.2298014185777;541.0789878341237
900;2005.1875987989342;401.03751975978685;886.9102659261011;430.17240478345076;156.492285534473
960;1169.7070820391168;233.94141640782337;551.8601866728601;81.47893497600221;61.05985941994035
1020;952.7238902291128;190.54477804582257;393.1169822575548;67.2714535572611;67.2714535572611
1080;1792.3278102075606;358.4655620415121;742.8490516524248;349.9356639768358;130.32848188511258
1140;1293.363320022058;258.67266400441156;378.4558960533678;252.92672898227596;165.27115077321128
1200;1436.2599388644176;287.2519877728835;507.9358005478173;186.33318797617346;178.16421872441933
1260;2298.446623344944;459.6893246689888;1226.8136008117704;205.24082582647964;205.23941663031422
1320;1686.5026882958366;337.30053765916733;640.6290501555134;210.6381216934708;156.18819105493498
1380;1715.5609903467453;343.11219806934906;610.2479561846491;286.25311164548117;118.05984706652332
